epoch,batch,update,tokens_seen,validation_loss,validation_perplexity,validation_bits_per_token,validation_token_accuracy,learning_rate,elapsed_seconds
1,8000,1000,16384000,6.4792114116090005,651.4570122195206,9.347526172399485,0.15651202915376677,0.00019968536556581445,551.0340176000027
1,16000,2000,32768000,5.748791926908543,313.81132418242015,8.293753604053462,0.20760368292053663,0.00019760077468170583,1102.9345480000047
1,24000,3000,49152000,5.364960841719211,213.78286314765066,7.740002400911784,0.2326375451496388,0.00019360663158096,1655.1411150000058
1,32000,4000,65536000,5.092656325014506,162.82179573029995,7.347150025050241,0.24965734649122806,0.0001877900019869031,2207.026733000006
1,40000,5000,81920000,4.893222667115392,133.38273030470455,7.059428075812844,0.26236777605779155,0.00018027767881860512,2758.728336500004
1,48000,6000,98304000,4.722621719411529,112.4627121796329,6.813302934589522,0.2749048632610939,0.000171233418314641,3310.5392286999995
1,56000,7000,114688000,4.588516941011505,98.34846537592564,6.619830635832296,0.28575287022703816,0.00016085437041753046,3862.3231404000107
1,57848,7231,118472704,4.55533516493129,95.13863702719256,6.5719594520334805,0.28926809210526316,0.00015829042283738143,3994.803860800006
2,6152,8000,131072000,4.46466081085835,86.89155186988681,6.44114401107664,0.29651622162022706,0.00014936678123058172,4420.089090400012
2,14152,9000,147456000,4.36878301976758,78.94749567197512,6.302821597338598,0.3058646155830753,0.00013702106122648127,4972.2564709
2,22152,10000,163840000,4.283251991705014,72.47574772098852,6.1794264073106,0.31406814370485037,0.00012408632671253892,5524.197995900002
2,30152,11000,180224000,4.220543898788153,68.0704976839363,6.0889577526358405,0.3199416279669763,0.00011084453353962994,6076.053642800005
2,38152,12000,196608000,4.161414534683936,64.1622181217647,6.003652112271768,0.3251378676470588,9.758433093029202e-05,6627.932477200011
2,46152,13000,212992000,4.116752975865414,61.35968208278513,5.939219102845915,0.32944723942208465,8.459476940237423e-05,7179.6315496000025
2,54152,14000,229376000,4.068601289400744,58.47511560112535,5.869750903572896,0.33428873194014447,7.215899994511043e-05,7731.666359300012
2,57848,14462,236945408,4.056430499251044,57.76774062816405,5.852192164980223,0.3357560952012384,6.667643860071248e-05,7990.3094532000105
3,4304,15000,245760000,4.042556226315021,56.971789616618494,5.832175820219483,0.33675986842105265,6.0548101795173965e-05,8289.142690700013
3,12304,16000,262144000,4.012406499270192,55.2797412797452,5.788678958527752,0.33943659700722395,5.001517335700153e-05,8840.915319700012
3,20304,17000,278528000,3.990342753344399,54.07342003298007,5.756847701697176,0.34229473039215685,4.078981507556489e-05,9392.398114700001
3,28304,18000,294912000,3.970303027622471,53.00058904900186,5.7279364887773765,0.34402815402476783,3.307312452585244e-05,9944.051291700001
3,36304,19000,311296000,3.9560404680092636,52.25003015684563,5.707359964753018,0.3451206140350877,2.7033312817844002e-05,10495.975731000013
3,44304,20000,327680000,3.943115811598928,51.579061827428895,5.688713627044634,0.3463420730134159,2.280203787211172e-05,11047.685284900013
3,52304,21000,344064000,3.933023173250527,51.06111115107297,5.67415302774991,0.34695884932920534,2.0471534494582614e-05,11601.474635300008
3,57848,21693,355418112,3.928143442230697,50.81255360328632,5.667113064006729,0.34761593782249744,2e-05,11988.60469030001
