status,run_id,seed,activation_mode,layers,extra_dims,max_children,min_children,input_dim,state_dim,num_classes,params,epochs,lr,batch_size,init_samples,kmeans_iters,init_uses_activation,best_epoch,best_val_acc,best_val_f1,final_val_acc,final_val_f1,test_acc,test_f1,init_time_sec,train_time_sec,total_time_sec,selected_k_by_layer,total_children,error,diag_mean_state_norm,diag_final_state_norm,diag_mean_move_norm,diag_mean_move_state_ratio,diag_mean_state_zero_rate,diag_final_state_zero_rate,diag_mean_active_dim_rate,diag_mean_activation_zero_rate,layer1_selected_k,layer1_pre_state_norm,layer1_mid_state_norm,layer1_state_norm,layer1_move_norm,layer1_move_state_ratio,layer1_state_zero_rate,layer1_active_dim_rate,layer1_activation_zero_rate,layer1_origin_norm,layer1_gate_mean,layer1_gate_active,layer1_alpha_entropy,layer1_alpha_eff,layer2_selected_k,layer2_pre_state_norm,layer2_mid_state_norm,layer2_state_norm,layer2_move_norm,layer2_move_state_ratio,layer2_state_zero_rate,layer2_active_dim_rate,layer2_activation_zero_rate,layer2_origin_norm,layer2_gate_mean,layer2_gate_active,layer2_alpha_entropy,layer2_alpha_eff,layer3_selected_k,layer3_pre_state_norm,layer3_mid_state_norm,layer3_state_norm,layer3_move_norm,layer3_move_state_ratio,layer3_state_zero_rate,layer3_active_dim_rate,layer3_activation_zero_rate,layer3_origin_norm,layer3_gate_mean,layer3_gate_active,layer3_alpha_entropy,layer3_alpha_eff,layer4_selected_k,layer4_pre_state_norm,layer4_mid_state_norm,layer4_state_norm,layer4_move_norm,layer4_move_state_ratio,layer4_state_zero_rate,layer4_active_dim_rate,layer4_activation_zero_rate,layer4_origin_norm,layer4_gate_mean,layer4_gate_active,layer4_alpha_entropy,layer4_alpha_eff,layer5_selected_k,layer5_pre_state_norm,layer5_mid_state_norm,layer5_state_norm,layer5_move_norm,layer5_move_state_ratio,layer5_state_zero_rate,layer5_active_dim_rate,layer5_activation_zero_rate,layer5_origin_norm,layer5_gate_mean,layer5_gate_active,layer5_alpha_entropy,layer5_alpha_eff,layer6_selected_k,layer6_pre_state_norm,layer6_mid_state_norm,layer6_state_norm,layer6_move_norm,layer6_move_state_ratio,layer6_state_zero_rate,layer6_active_dim_rate,layer6_activation_zero_rate,layer6_origin_norm,layer6_gate_mean,layer6_gate_active,layer6_alpha_entropy,layer6_alpha_eff,layer7_selected_k,layer7_pre_state_norm,layer7_mid_state_norm,layer7_state_norm,layer7_move_norm,layer7_move_state_ratio,layer7_state_zero_rate,layer7_active_dim_rate,layer7_activation_zero_rate,layer7_origin_norm,layer7_gate_mean,layer7_gate_active,layer7_alpha_entropy,layer7_alpha_eff,layer8_selected_k,layer8_pre_state_norm,layer8_mid_state_norm,layer8_state_norm,layer8_move_norm,layer8_move_state_ratio,layer8_state_zero_rate,layer8_active_dim_rate,layer8_activation_zero_rate,layer8_origin_norm,layer8_gate_mean,layer8_gate_active,layer8_alpha_entropy,layer8_alpha_eff
ok,airline__act_none__L1__seed0,0,none,1,2,100,2,32,34,2,3176,100,0.001,512,8192,8,True,99,0.954254,0.953332,0.95265,0.951752,0.953265,0.952423,3.797,135.906,147.31,[41],82,,9.509056,9.509056,0.838003,0.087136,7e-06,7e-06,0.999993,0.0,41,10.084098,9.509056,9.509056,0.838003,0.087136,7e-06,0.999993,0.0,0.0,0.115474,0.16255,2.489804,13.032136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,airline__act_none__L2__seed0,0,none,2,2,100,2,32,34,2,6282,100,0.001,512,8192,8,True,90,0.954895,0.953962,0.952842,0.95198,0.95465,0.953802,7.362,184.273,191.908,"[41, 41]",164,,9.44188,9.278368,0.605542,0.06399,7e-06,7e-06,0.999993,0.0,41,10.084098,9.605392,9.605392,0.663746,0.068678,7e-06,0.999993,0.0,0.0,0.079699,0.131622,2.546307,13.756085,41,9.605392,9.278368,9.278368,0.547338,0.059303,7e-06,0.999993,0.0,0.0,0.053608,0.088318,2.402689,11.588241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,airline__act_none__L3__seed0,0,none,3,2,100,2,32,34,2,9832,100,0.001,512,8192,8,True,100,0.956114,0.955242,0.956114,0.955242,0.95569,0.95487,10.918,238.178,249.465,"[41, 41, 47]",258,,9.256556,8.88307,0.593932,0.064064,5e-06,0.0,0.999995,0.0,41,10.084098,9.639638,9.639638,0.611965,0.063991,7e-06,0.999993,0.0,0.0,0.060002,0.099188,2.469422,12.809368,41,9.639638,9.246959,9.246959,0.572495,0.061101,7e-06,0.999993,0.0,0.0,0.042103,0.076048,2.419866,11.877942,47,9.246959,8.88307,8.88307,0.597335,0.067099,0.0,1.0,0.0,0.0,0.053698,0.075385,2.413486,12.003346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,airline__act_none__L4__seed0,0,none,4,2,100,2,32,34,2,13382,100,0.001,512,8192,8,True,95,0.956628,0.955796,0.955152,0.954301,0.955266,0.954457,14.507,290.066,304.955,"[41, 41, 47, 47]",352,,9.252101,8.775083,0.504489,0.054566,4e-06,0.0,0.999996,0.0,41,10.084098,9.707067,9.707067,0.545588,0.055504,7e-06,0.999993,0.0,0.0,0.059394,0.092827,2.513037,13.202658,41,9.707067,9.386902,9.386902,0.451792,0.048257,7e-06,0.999993,0.0,0.0,0.036791,0.064858,2.514466,13.057322,47,9.386902,9.13935,9.13935,0.417481,0.046367,0.0,1.0,0.0,0.0,0.041011,0.068401,2.471754,12.659431,47,9.13935,8.775083,8.775083,0.603096,0.068136,0.0,1.0,0.0,0.0,0.061285,0.08403,2.252612,10.132432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,airline__act_none__L5__seed0,0,none,5,2,100,2,32,34,2,17080,100,0.001,512,8192,8,True,98,0.956564,0.955725,0.955345,0.95448,0.955305,0.954508,18.296,342.661,361.402,"[41, 41, 47, 47, 49]",450,,9.096005,8.451302,0.506056,0.055583,7e-06,7e-06,0.999993,0.0,41,10.084098,9.73876,9.73876,0.464637,0.045324,7e-06,0.999993,0.0,0.0,0.039114,0.070539,2.552218,13.865183,41,9.73876,9.422342,9.422342,0.470729,0.049343,7e-06,0.999993,0.0,0.0,0.040906,0.074909,2.553484,13.584657,47,9.422342,9.104126,9.104126,0.481139,0.052439,7e-06,0.999993,0.0,0.0,0.043322,0.068905,2.560965,13.706709,47,9.104126,8.763496,8.763496,0.531517,0.060572,7e-06,0.999993,0.0,0.0,0.061215,0.08703,2.385694,11.648852,49,8.763496,8.451302,8.451302,0.582255,0.070236,7e-06,0.999993,0.0,0.0,0.038699,0.069117,2.231342,10.359137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,airline__act_none__L6__seed0,0,none,6,2,100,2,32,34,2,20778,100,0.001,512,8192,8,True,56,0.957013,0.956123,0.955794,0.954887,0.954304,0.953419,21.917,398.256,420.781,"[41, 41, 47, 47, 49, 49]",548,,9.15259,8.43125,0.426591,0.047293,7e-06,7e-06,0.999993,0.0,41,10.084098,9.785856,9.785856,0.400832,0.039766,7e-06,0.999993,0.0,0.0,0.043894,0.073363,2.514455,13.24922,41,9.785856,9.52966,9.52966,0.379304,0.039729,7e-06,0.999993,0.0,0.0,0.033692,0.062079,2.547122,13.351957,47,9.52966,9.350706,9.350706,0.261323,0.027073,7e-06,0.999993,0.0,0.0,0.029165,0.048249,2.537127,13.44413,47,9.350706,9.019915,9.019915,0.471356,0.053327,7e-06,0.999993,0.0,0.0,0.050499,0.076442,2.221196,9.844433,49,9.019915,8.798153,8.798153,0.38323,0.044195,7e-06,0.999993,0.0,0.0,0.029189,0.054668,2.5656,14.014205,49,8.798153,8.43125,8.43125,0.663499,0.079669,7e-06,0.999993,0.0,0.0,0.044866,0.059836,2.134015,9.221256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,airline__act_none__L7__seed0,0,none,7,2,100,2,32,34,2,24180,100,0.001,512,8192,8,True,89,0.957013,0.956145,0.95605,0.955203,0.95415,0.953314,25.823,446.693,473.084,"[41, 41, 47, 47, 49, 49, 45]",638,,9.457982,8.695975,0.395512,0.042863,7e-06,7e-06,0.999993,0.0,41,10.084098,10.134882,10.134882,0.409149,0.041661,7e-06,0.999993,0.0,0.0,0.060869,0.078027,2.57399,13.980286,41,10.134882,9.931756,9.931756,0.319994,0.032385,7e-06,0.999993,0.0,0.0,0.032381,0.060636,2.503696,12.870213,47,9.931756,9.735948,9.735948,0.293752,0.029538,7e-06,0.999993,0.0,0.0,0.028262,0.048968,2.517964,13.283058,47,9.735948,9.471563,9.471563,0.399209,0.043033,7e-06,0.999993,0.0,0.0,0.048376,0.07612,2.38178,11.502693,49,9.471563,9.231087,9.231087,0.364982,0.040101,7e-06,0.999993,0.0,0.0,0.022755,0.045484,2.405583,11.826677,49,9.231087,9.004661,9.004661,0.427603,0.048639,7e-06,0.999993,0.0,0.0,0.025099,0.044638,2.348078,11.319888,45,9.004661,8.695975,8.695975,0.553894,0.064686,7e-06,0.999993,0.0,0.0,0.057183,0.087381,2.359265,11.278607,,,,,,,,,,,,,,
ok,airline__act_none__L8__seed0,0,none,8,2,100,2,32,34,2,27878,100,0.001,512,8192,8,True,82,0.956114,0.955234,0.954126,0.953257,0.953149,0.952308,29.575,497.885,528.04,"[41, 41, 47, 47, 49, 49, 45, 49]",736,,9.217076,8.32477,0.386834,0.042473,7e-06,7e-06,0.999993,0.0,41,10.084098,9.929511,9.929511,0.405502,0.04019,7e-06,0.999993,0.0,0.0,0.043808,0.071682,2.473558,12.741418,41,9.929511,9.767817,9.767817,0.265456,0.026624,7e-06,0.999993,0.0,0.0,0.029326,0.054997,2.525434,13.350052,47,9.767817,9.62178,9.62178,0.233771,0.023271,7e-06,0.999993,0.0,0.0,0.017203,0.034213,2.633729,15.09826,47,9.62178,9.384767,9.384767,0.341575,0.03747,7e-06,0.999993,0.0,0.0,0.028504,0.053462,2.327733,11.198369,49,9.384767,9.151305,9.151305,0.335967,0.036932,7e-06,0.999993,0.0,0.0,0.020637,0.041763,2.494479,12.976918,49,9.151305,8.925915,8.925915,0.372522,0.041196,7e-06,0.999993,0.0,0.0,0.021099,0.042857,2.310904,10.814708,45,8.925915,8.630748,8.630748,0.490442,0.056237,7e-06,0.999993,0.0,0.0,0.042602,0.075806,2.349853,11.050211,49,8.630748,8.32477,8.32477,0.649438,0.077864,7e-06,0.999993,0.0,0.0,0.039731,0.059281,2.414013,11.886541
ok,airline__act_none__L9__seed0,0,none,9,2,100,2,32,34,2,31132,100,0.001,512,8192,8,True,85,0.955152,0.954306,0.954318,0.95346,0.952918,0.952076,33.123,559.266,593.044,"[41, 41, 47, 47, 49, 49, 45, 49, 43]",822,,9.256359,8.37263,0.355267,0.038782,7e-06,7e-06,0.999993,0.0,41,10.084098,9.931216,9.931216,0.430378,0.043609,7e-06,0.999993,0.0,0.0,0.036624,0.06243,2.265291,10.443033,41,9.931216,9.817834,9.817834,0.229649,0.022291,7e-06,0.999993,0.0,0.0,0.024072,0.047951,2.501539,12.953029,47,9.817834,9.681067,9.681067,0.222397,0.021474,7e-06,0.999993,0.0,0.0,0.017038,0.033675,2.638002,15.241096,47,9.681067,9.465169,9.465169,0.3148,0.033776,7e-06,0.999993,0.0,0.0,0.034161,0.060414,2.48356,12.90736,49,9.465169,9.302216,9.302216,0.267979,0.028652,7e-06,0.999993,0.0,0.0,0.021069,0.038111,2.517602,13.422531,49,9.302216,9.141957,9.141957,0.287615,0.030734,7e-06,0.999993,0.0,0.0,0.021457,0.044726,2.560862,13.836093,45,9.141957,8.901793,8.901793,0.400269,0.04595,7e-06,0.999993,0.0,0.0,0.03347,0.06389,2.360349,11.24916,49,8.901793,8.693352,8.693352,0.390629,0.04286,7e-06,0.999993,0.0,0.0,0.026843,0.047164,2.486889,12.911646
ok,airline__act_none__L10__seed0,0,none,10,2,100,2,32,34,2,35052,100,0.001,512,8192,8,True,67,0.95451,0.953602,0.953163,0.952279,0.954073,0.953208,37.067,605.41,643.202,"[41, 41, 47, 47, 49, 49, 45, 49, 43, 52]",926,,10.174984,9.152807,0.412212,0.042009,3e-06,0.0,0.999997,0.0,41,10.084098,10.489483,10.489483,0.60475,0.061831,7e-06,0.999993,0.0,0.0,0.059791,0.071334,2.398745,11.741034,41,10.489483,10.692624,10.692624,0.365578,0.037307,7e-06,0.999993,0.0,0.0,0.025211,0.046545,2.124611,9.081131,47,10.692624,10.869935,10.869935,0.349061,0.035219,7e-06,0.999993,0.0,0.0,0.021813,0.037343,2.204097,9.864128,47,10.869935,10.683947,10.683947,0.324408,0.03108,7e-06,0.999993,0.0,0.0,0.038675,0.063512,2.350696,11.332958,49,10.683947,10.451781,10.451781,0.327195,0.032427,0.0,1.0,0.0,0.0,0.023187,0.03991,2.332451,11.190204,49,10.451781,10.275876,10.275876,0.267018,0.024845,0.0,1.0,0.0,0.0,0.023526,0.044071,2.466375,12.751834,45,10.275876,9.953869,9.953869,0.475512,0.046365,0.0,1.0,0.0,0.0,0.031896,0.057239,2.21981,9.753188,49,9.953869,9.74,9.74,0.372714,0.037207,0.0,1.0,0.0,0.0,0.037686,0.06219,2.430245,12.242671
