activation_mode,layers,best_val_acc,best_val_f1,test_acc,test_f1,params,total_children,selected_k_by_layer,diag_mean_move_norm,diag_mean_move_state_ratio,diag_mean_state_zero_rate,diag_mean_activation_zero_rate
none,1,0.954254,0.953332,0.953265,0.952423,3176,82,[41],0.838003,0.087136,7e-06,0.0
none,2,0.954895,0.953962,0.95465,0.953802,6282,164,"[41, 41]",0.605542,0.06399,7e-06,0.0
none,3,0.956114,0.955242,0.95569,0.95487,9832,258,"[41, 41, 47]",0.593932,0.064064,5e-06,0.0
none,4,0.956628,0.955796,0.955266,0.954457,13382,352,"[41, 41, 47, 47]",0.504489,0.054566,4e-06,0.0
none,5,0.956564,0.955725,0.955305,0.954508,17080,450,"[41, 41, 47, 47, 49]",0.506056,0.055583,7e-06,0.0
none,6,0.957013,0.956123,0.954304,0.953419,20778,548,"[41, 41, 47, 47, 49, 49]",0.426591,0.047293,7e-06,0.0
none,7,0.957013,0.956145,0.95415,0.953314,24180,638,"[41, 41, 47, 47, 49, 49, 45]",0.395512,0.042863,7e-06,0.0
none,8,0.956114,0.955234,0.953149,0.952308,27878,736,"[41, 41, 47, 47, 49, 49, 45, 49]",0.386834,0.042473,7e-06,0.0
none,9,0.955152,0.954306,0.952918,0.952076,31132,822,"[41, 41, 47, 47, 49, 49, 45, 49, 43]",0.355267,0.038782,7e-06,0.0
none,10,0.95451,0.953602,0.954073,0.953208,35052,926,"[41, 41, 47, 47, 49, 49, 45, 49, 43, 52]",0.412212,0.042009,3e-06,0.0
none,11,0.95528,0.954375,0.954612,0.953758,39046,1032,"[41, 41, 47, 47, 49, 49, 45, 49, 43, 52, 53]",0.375792,0.038661,6e-06,0.0
none,12,0.952971,0.952107,0.953226,0.952443,42670,1128,"[41, 41, 47, 47, 49, 49, 45, 49, 43, 52, 53, 48]",0.381445,0.038947,7e-06,0.0
parent_relu,1,0.953227,0.95226,0.953419,0.95255,3176,82,[41],0.543707,0.056208,7e-06,0.432603
parent_relu,2,0.956114,0.955153,0.956075,0.955195,3766,96,"[41, 7]",0.821637,0.120324,4e-06,0.427131
parent_relu,3,0.955922,0.955005,0.955767,0.95493,5244,134,"[41, 7, 19]",0.70849,0.112827,0.0,0.398349
parent_relu,4,0.958553,0.957718,0.957769,0.957012,6278,160,"[41, 7, 19, 13]",0.676128,0.107376,4e-06,0.432344
parent_relu,5,0.957141,0.956276,0.956498,0.955712,7756,198,"[41, 7, 19, 13, 19]",0.592312,0.098078,4e-06,0.406175
parent_relu,6,0.958681,0.957803,0.958308,0.957479,8642,220,"[41, 7, 19, 13, 19, 11]",0.544646,0.09024,2e-06,0.389822
parent_relu,7,0.958488,0.957591,0.958038,0.957218,9528,242,"[41, 7, 19, 13, 19, 11, 11]",0.679566,0.109008,3e-06,0.394907
parent_relu,8,0.958617,0.957738,0.958115,0.957307,10414,264,"[41, 7, 19, 13, 19, 11, 11, 11]",0.599713,0.096466,1e-06,0.420582
parent_relu,9,0.957718,0.956877,0.956729,0.955917,11448,290,"[41, 7, 19, 13, 19, 11, 11, 11, 13]",0.580944,0.087117,2e-06,0.401228
parent_relu,10,0.956628,0.955713,0.955497,0.954631,12334,312,"[41, 7, 19, 13, 19, 11, 11, 11, 13, 11]",0.469571,0.074914,4e-06,0.472137
parent_relu,11,0.958296,0.957437,0.958308,0.957531,12998,328,"[41, 7, 19, 13, 19, 11, 11, 11, 13, 11, 8]",0.473604,0.067659,2e-06,0.390832
parent_relu,12,0.958168,0.957331,0.958192,0.957418,13662,344,"[41, 7, 19, 13, 19, 11, 11, 11, 13, 11, 8, 8]",0.443818,0.063258,2e-06,0.382274
post_relu,1,0.952201,0.951242,0.951956,0.951069,3176,82,[41],0.838625,0.087238,0.696806,0.696806
post_relu,2,0.956692,0.955769,0.956883,0.956025,6726,176,"[41, 47]",0.728966,0.15361,0.47576,0.47576
post_relu,3,0.958745,0.957912,0.959232,0.958485,9980,262,"[41, 47, 43]",0.619814,0.142868,0.401207,0.401207
post_relu,4,0.957975,0.957162,0.960079,0.959358,13234,348,"[41, 47, 43, 43]",0.585584,0.137388,0.370015,0.370015
post_relu,5,0.958681,0.957832,0.959309,0.958551,16488,434,"[41, 47, 43, 43, 43]",0.534022,0.136964,0.322747,0.322747
post_relu,6,0.958232,0.957273,0.95877,0.957904,20186,532,"[41, 47, 43, 43, 43, 49]",0.487003,0.123099,0.320222,0.320222
post_relu,7,0.959002,0.958139,0.958385,0.957591,24328,642,"[41, 47, 43, 43, 43, 49, 55]",0.453739,0.111646,0.291129,0.291129
post_relu,8,0.958232,0.957372,0.958154,0.957364,27878,736,"[41, 47, 43, 43, 43, 49, 55, 47]",0.417842,0.105283,0.287156,0.287156
post_relu,9,0.956628,0.95571,0.957268,0.956437,31280,826,"[41, 47, 43, 43, 43, 49, 55, 47, 45]",0.363482,0.097271,0.272364,0.272364
post_relu,10,0.956564,0.955741,0.956883,0.956149,34534,912,"[41, 47, 43, 43, 43, 49, 55, 47, 45, 43]",0.350888,0.086293,0.288744,0.288744
post_relu,11,0.957718,0.956852,0.957268,0.956496,37936,1002,"[41, 47, 43, 43, 43, 49, 55, 47, 45, 43, 45]",0.310138,0.079682,0.259958,0.259958
post_relu,12,0.958488,0.957626,0.957499,0.956686,40746,1076,"[41, 47, 43, 43, 43, 49, 55, 47, 45, 43, 45, 37]",0.303682,0.079373,0.267983,0.267983
