status,run_id,dataset,model,mode,seed,layers,fixed_k,selected_k,max_children,state_mode,extra_dims,input_dim,state_dim,num_classes,epochs,lr,batch_size,init_samples,kmeans_iters,params,best_epoch,best_val_acc,best_val_f1,final_val_acc,final_val_f1,test_acc,test_f1,train_time_sec,selected_children,total_children,train_fisher_before,train_fisher_after,val_fisher_before,val_fisher_after,test_fisher_before,test_fisher_after,layer1_children,layer1_sigma_mean,layer1_sigma_min,layer1_sigma_max,layer1_gate_active,layer1_gate_mean,layer1_move_norm,layer1_alpha_eff,layer1_parent_top_rate,layer1_child_top_rate,layer1_charge_abs_mean,layer1_parent_norm,layer1_child_offset_norm
ok,airline_satisfaction__L1_x2__autok_max100__seed0,airline_satisfaction,AAT-L1-x2-AutoK-max100,auto,0,1,,7,100,x2,32,32,64,2,80,0.001,512,8192,8,1200,78,0.942063,0.940985,0.941293,0.94033,0.941099,0.94019,102.901,"[[7, 7]]",14,6778.578125,6966.822266,1237.093018,1269.654175,2095.927246,2153.103271,7.0,2.802182,2.109274,3.351034,0.167045,0.134956,0.473576,4.913388,0.0,1.0,0.596193,8.493202,19.691467
ok,airline_satisfaction__L1_x2__fixed_k02__seed0,airline_satisfaction,AAT-L1-x2-K2,fixed,0,1,2,2,2,x2,32,32,64,2,80,0.001,512,8192,8,530,73,0.925959,0.924603,0.925574,0.924078,0.922505,0.921301,133.875,"[[2, 2]]",4,6778.578125,6797.542969,1237.093018,1240.390503,2095.927246,2101.848633,2.0,2.937958,2.625428,3.3678,0.198151,0.101074,0.551101,3.109561,0.014526,0.985474,0.758915,7.372852,6.510567
ok,airline_satisfaction__L1_x2__fixed_k03__seed0,airline_satisfaction,AAT-L1-x2-K3,fixed,0,1,3,3,3,x2,32,32,64,2,80,0.001,512,8192,8,664,79,0.934364,0.932958,0.934108,0.932727,0.934401,0.933211,162.113,"[[3, 3]]",6,6778.578125,6937.09668,1237.093018,1266.603027,2095.927246,2145.289307,3.0,2.642748,2.043169,3.101476,0.192017,0.082438,0.346624,3.073614,0.0,1.0,0.39806,8.259002,14.875128
ok,airline_satisfaction__L1_x2__fixed_k04__seed0,airline_satisfaction,AAT-L1-x2-K4,fixed,0,1,4,4,4,x2,32,32,64,2,80,0.001,512,8192,8,798,74,0.939561,0.938362,0.939369,0.938191,0.938328,0.937282,179.396,"[[4, 4]]",8,6778.578125,6928.476562,1237.093018,1262.844116,2095.927246,2142.209717,4.0,2.724841,2.259622,3.282351,0.188141,0.084992,0.338709,3.462479,0.007568,0.992432,0.67466,7.515812,16.310858
ok,airline_satisfaction__L1_x2__fixed_k05__seed0,airline_satisfaction,AAT-L1-x2-K5,fixed,0,1,5,5,5,x2,32,32,64,2,80,0.001,512,8192,8,932,68,0.941935,0.940898,0.941101,0.940072,0.940445,0.939487,183.56,"[[5, 5]]",10,6778.578125,7049.14502,1237.093018,1284.821167,2095.927246,2178.09668,5.0,2.774489,2.292082,3.169373,0.198047,0.169035,0.450876,4.28327,0.078979,0.921021,0.556188,8.409328,17.902552
ok,airline_satisfaction__L1_x2__fixed_k06__seed0,airline_satisfaction,AAT-L1-x2-K6,fixed,0,1,6,6,6,x2,32,32,64,2,80,0.001,512,8192,8,1066,75,0.946298,0.945166,0.946041,0.944998,0.943948,0.942918,182.715,"[[6, 6]]",12,6778.578125,6887.806641,1237.093018,1256.510986,2095.927246,2129.162354,6.0,2.704684,2.226377,3.33463,0.105174,0.041602,0.429751,4.373607,0.251587,0.748413,0.780627,8.423286,19.78997
ok,airline_satisfaction__L1_x2__fixed_k07__seed0,airline_satisfaction,AAT-L1-x2-K7,fixed,0,1,7,7,7,x2,32,32,64,2,80,0.001,512,8192,8,1200,76,0.941229,0.940186,0.941229,0.940003,0.941215,0.940296,182.679,"[[7, 7]]",14,6778.578125,7006.733887,1237.093018,1277.2229,2095.927246,2165.015381,7.0,2.742439,2.058391,3.435605,0.151289,0.104519,0.402732,4.508513,0.021851,0.978149,0.565731,8.396843,19.748835
ok,airline_satisfaction__L1_x2__fixed_k08__seed0,airline_satisfaction,AAT-L1-x2-K8,fixed,0,1,8,8,8,x2,32,32,64,2,80,0.001,512,8192,8,1334,72,0.947389,0.946295,0.947325,0.946255,0.945681,0.944654,182.77,"[[8, 8]]",16,6778.578125,7074.058594,1237.093018,1290.941528,2095.927246,2183.225342,8.0,2.670554,2.140394,3.382935,0.177818,0.133282,0.588043,4.566046,0.029907,0.970093,0.675492,7.81052,18.647413
ok,airline_satisfaction__L1_x2__fixed_k09__seed0,airline_satisfaction,AAT-L1-x2-K9,fixed,0,1,9,9,9,x2,32,32,64,2,80,0.001,512,8192,8,1468,75,0.948159,0.947126,0.94726,0.946245,0.946451,0.945535,183.144,"[[9, 9]]",18,6778.578125,7044.836426,1237.093018,1285.807495,2095.927246,2174.595947,9.0,2.764715,2.242433,3.431798,0.229757,0.192386,0.588818,5.488252,0.008301,0.991699,0.677785,7.882992,17.386198
ok,airline_satisfaction__L1_x2__fixed_k10__seed0,airline_satisfaction,AAT-L1-x2-K10,fixed,0,1,10,10,10,x2,32,32,64,2,80,0.001,512,8192,8,1602,79,0.949057,0.947967,0.948608,0.947625,0.947759,0.946763,183.033,"[[10, 10]]",20,6778.578125,7054.650391,1237.093018,1286.782959,2095.927246,2177.154297,10.0,2.742556,2.057488,3.483314,0.161182,0.081051,0.598828,4.692729,0.785522,0.214478,0.706621,7.381313,16.371138
ok,airline_satisfaction__L1_x2__fixed_k11__seed0,airline_satisfaction,AAT-L1-x2-K11,fixed,0,1,11,11,11,x2,32,32,64,2,80,0.001,512,8192,8,1736,77,0.949698,0.948737,0.947645,0.946756,0.948106,0.94721,169.954,"[[11, 11]]",22,6778.578125,7084.64209,1237.093018,1292.31604,2095.927246,2186.818359,11.0,2.777042,2.209339,3.399101,0.149714,0.075388,0.557879,5.598929,0.618652,0.381348,0.764277,7.434576,16.355663
ok,airline_satisfaction__L1_x2__fixed_k12__seed0,airline_satisfaction,AAT-L1-x2-K12,fixed,0,1,12,12,12,x2,32,32,64,2,80,0.001,512,8192,8,1870,79,0.947453,0.946333,0.94649,0.945445,0.945026,0.943957,178.901,"[[12, 12]]",24,6778.578125,7025.630371,1237.093018,1281.66272,2095.927246,2169.318115,12.0,2.692072,1.95657,3.500338,0.117457,0.059609,0.438712,5.277746,0.118896,0.881104,0.629657,7.909726,15.645236
ok,airline_satisfaction__L1_x2__fixed_k13__seed0,airline_satisfaction,AAT-L1-x2-K13,fixed,0,1,13,13,13,x2,32,32,64,2,80,0.001,512,8192,8,2004,75,0.949763,0.948706,0.947004,0.94593,0.947375,0.94633,136.551,"[[13, 13]]",26,6778.578125,7115.526367,1237.093018,1298.294556,2095.927246,2196.622803,13.0,2.708201,1.656542,3.587443,0.132014,0.072854,0.488104,5.707891,0.284912,0.715088,0.593382,7.854281,14.960842
ok,airline_satisfaction__L1_x2__fixed_k82__seed0,airline_satisfaction,AAT-L1-x2-K82,fixed,0,1,82,82,82,x2,32,32,64,2,80,0.001,512,8192,8,11250,75,0.953869,0.952932,0.950853,0.94998,0.954035,0.953183,117.392,"[[82, 82]]",164,6778.578125,7079.749023,1237.093018,1290.491089,2095.927246,2179.487061,82.0,2.690641,1.58134,3.870061,0.128181,0.08734,0.553495,21.713326,0.0,1.0,0.595243,8.618353,10.142842
ok,airline_satisfaction__L1_x2__fixed_k87__seed0,airline_satisfaction,AAT-L1-x2-K87,fixed,0,1,87,87,87,x2,32,32,64,2,80,0.001,512,8192,8,11920,80,0.955216,0.954313,0.955216,0.954313,0.955035,0.954214,172.774,"[[87, 87]]",174,6778.578125,7092.341309,1237.093018,1293.28125,2095.927246,2183.768311,87.0,2.704868,1.527001,3.636674,0.136193,0.094383,0.587374,24.922529,0.000244,0.999756,0.598204,8.468904,10.125437
ok,airline_satisfaction__L1_x2__fixed_k70__seed0,airline_satisfaction,AAT-L1-x2-K70,fixed,0,1,70,70,70,x2,32,32,64,2,80,0.001,512,8192,8,9642,79,0.954126,0.953169,0.953484,0.952594,0.952918,0.952052,103.592,"[[70, 70]]",140,6778.578125,7062.034668,1237.093018,1287.639282,2095.927246,2175.785645,70.0,2.692362,1.724404,3.830045,0.127106,0.086095,0.516237,19.951021,0.004517,0.995483,0.597787,8.49991,10.282731
ok,airline_satisfaction__L1_x2__fixed_k40__seed0,airline_satisfaction,AAT-L1-x2-K40,fixed,0,1,40,40,40,x2,32,32,64,2,80,0.001,512,8192,8,5622,78,0.952971,0.952033,0.952586,0.951594,0.950762,0.94986,107.215,"[[40, 40]]",80,6778.578125,7048.598633,1237.093018,1286.493408,2095.927246,2173.025635,40.0,2.714052,1.642437,3.432145,0.155423,0.105791,0.528866,14.964284,0.009155,0.990845,0.591473,8.479005,11.092408
ok,airline_satisfaction__L1_x2__fixed_k41__seed0,airline_satisfaction,AAT-L1-x2-K41,fixed,0,1,41,41,41,x2,32,32,64,2,80,0.001,512,8192,8,5756,79,0.954254,0.953295,0.949057,0.948165,0.953534,0.952637,104.184,"[[41, 41]]",82,6778.578125,7121.37793,1237.093018,1299.946045,2095.927246,2196.322998,41.0,2.728149,2.087376,3.637162,0.138383,0.081423,0.532444,14.887656,0.045288,0.954712,0.597717,8.144226,11.129613
