rank,run_id,model,mode,fixed_k,selected_k,selected_children,total_children,params,best_epoch,best_val_acc,best_val_f1,test_acc,test_f1,final_val_acc,train_time_sec,val_fisher_before,val_fisher_after,layer1_children,layer1_sigma_mean,layer1_gate_active,layer1_move_norm,layer1_alpha_eff
1,airline_satisfaction__L1_x2__fixed_k59__seed0,AAT-L1-x2-K59,fixed,59,59,"[[59, 59]]",118,8168,70,0.955665,0.954786,0.953457,0.952604,0.955537,103.988,1237.093018,1288.256226,59.0,2.692315,0.130256,0.529597,18.212461
2,airline_satisfaction__L1_x2__fixed_k92__seed0,AAT-L1-x2-K92,fixed,92,92,"[[92, 92]]",184,12590,76,0.955473,0.954574,0.953265,0.952411,0.953676,106.224,1237.093018,1295.184814,92.0,2.680683,0.126198,0.513743,23.871531
3,airline_satisfaction__L1_x2__fixed_k78__seed0,AAT-L1-x2-K78,fixed,78,78,"[[78, 78]]",156,10714,76,0.955409,0.954447,0.95338,0.952458,0.952842,103.634,1237.093018,1284.738159,78.0,2.678338,0.136935,0.552069,22.153502
4,airline_satisfaction__L1_x2__fixed_k47__seed0,AAT-L1-x2-K47,fixed,47,47,"[[47, 47]]",94,6560,79,0.955345,0.954472,0.955035,0.954253,0.954126,104.219,1237.093018,1293.475342,47.0,2.718758,0.162369,0.58433,15.274923
5,airline_satisfaction__L1_x2__fixed_k49__seed0,AAT-L1-x2-K49,fixed,49,49,"[[49, 49]]",98,6828,78,0.955345,0.954468,0.95338,0.952588,0.953356,104.264,1237.093018,1290.176758,49.0,2.722908,0.165289,0.653593,17.034828
6,airline_satisfaction__L1_x2__fixed_k52__seed0,AAT-L1-x2-K52,fixed,52,52,"[[52, 52]]",104,7230,78,0.955345,0.954423,0.95365,0.952801,0.954831,103.235,1237.093018,1279.085449,52.0,2.71578,0.134976,0.525429,15.920634
7,airline_satisfaction__L1_x2__fixed_k91__seed0,AAT-L1-x2-K91,fixed,91,91,"[[91, 91]]",182,12456,77,0.95528,0.954381,0.955343,0.954531,0.953484,105.285,1237.093018,1286.496094,91.0,2.68083,0.123938,0.553318,23.730099
8,airline_satisfaction__L1_x2__fixed_k118__seed0,AAT-L1-x2-K118,fixed,118,118,"[[118, 118]]",236,16074,58,0.95528,0.954342,0.953188,0.952296,0.953035,99.023,1237.093018,1282.575684,118.0,2.674897,0.089218,0.502063,24.993361
9,airline_satisfaction__L1_x2__fixed_k87__seed0,AAT-L1-x2-K87,fixed,87,87,"[[87, 87]]",174,11920,80,0.955216,0.954313,0.955035,0.954214,0.955216,172.774,1237.093018,1293.28125,87.0,2.704868,0.136193,0.587374,24.922529
10,airline_satisfaction__L1_x2__fixed_k62__seed0,AAT-L1-x2-K62,fixed,62,62,"[[62, 62]]",124,8570,77,0.955216,0.954362,0.954843,0.954066,0.953291,104.39,1237.093018,1287.423096,62.0,2.694497,0.159883,0.528872,19.107445
