k,old_fisher_log,hard_mi,hard_nmi,soft_mi,soft_nmi,purity,used_anchors,inertia,neg_log_inertia
2,0.8850782883037022,0.0005980134010314941,0.0008627533679828048,0.0005562114529311657,0.0008024456910789013,0.51416015625,4,0.7590207818543278,0.27572612138911134
3,1.108426858937268,0.0017158985137939453,0.0024755250196903944,0.0016167766880244017,0.0023325218353420496,0.526123046875,6,0.5935072370954779,0.5217058710800908
4,0.6494498566820477,0.0005101561546325684,0.0007360017625615001,0.0005321882199496031,0.0007677873945795,0.513671875,8,0.44915676323964726,0.8003833135562194
5,1.993744663916468,0.00199735164642334,0.0028815772384405136,0.001848944230005145,0.0026674699038267136,0.526611328125,10,0.4055793495490442,0.9024387413419126
6,1.205774643433693,0.0013788342475891113,0.0019892428535968065,0.0014168117195367813,0.0020440327934920788,0.522216796875,12,0.35535334703496096,1.034642640772415
7,1.3285833069588162,0.0066683292388916016,0.009620391763746738,0.005748878698796034,0.008293901570141315,0.54833984375,14,0.2966253459283136,1.2152853980126002
8,1.2195094751797728,0.015505790710449219,0.022370189428329468,0.01180531457066536,0.017031515017151833,0.569091796875,16,0.2667828445026341,1.3213202679727039
9,1.121435954010309,0.013468146324157715,0.019430480897426605,0.010339371860027313,0.014916601590812206,0.561767578125,18,0.23344900921289044,1.4547916016826126
10,1.2868608035387614,0.01310795545578003,0.018910834565758705,0.008957693353295326,0.012923255562782288,0.568115234375,20,0.22289052898748057,1.5010745294549914
11,1.4252538112348114,0.012156188488006592,0.017537720501422882,0.008365228772163391,0.012068507261574268,0.568115234375,22,0.21307734649694876,1.5461000500944684
12,1.5776131801387203,0.012086868286132812,0.017437713220715523,0.008683399297297001,0.012527530081570148,0.5654296875,24,0.20206830830982447,1.5991494787944955
13,1.5090953757498586,0.013049781322479248,0.018826905637979507,0.01108725555241108,0.01599557138979435,0.559326171875,26,0.1902142809144632,1.6596040480172283
14,1.6269964396835053,0.009968161582946777,0.014381056651473045,0.009107334539294243,0.013139141723513603,0.56201171875,28,0.18022984851456214,1.713522306489555
15,1.6268335590824847,0.014887750148773193,0.021478543058037758,0.012616291642189026,0.018201511353254318,0.572509765625,30,0.1707083522755372,1.7677987208208323
16,1.7497159649558751,0.0186653733253479,0.02692851610481739,0.015540916472673416,0.022420864552259445,0.57861328125,32,0.1608135659189327,1.8275095606283198
17,1.658410557340277,0.017137885093688965,0.02472480945289135,0.015096040442585945,0.02177904173731804,0.577392578125,34,0.1504890783756942,1.8938647663587234
18,1.7219108423743588,0.0218048095703125,0.03145777806639671,0.017699461430311203,0.025534993037581444,0.586181640625,36,0.14309843597317878,1.9442225220868763
19,1.6527812712129284,0.024360239505767822,0.035144492983818054,0.02021830528974533,0.029168928042054176,0.59423828125,38,0.13500038360693778,2.0024776590148723
20,1.7511490193149353,0.03308117389678955,0.04772617667913437,0.028391772881150246,0.040960781276226044,0.604736328125,40,0.1286761922274059,2.0504561680702262
21,1.6790713035582634,0.040707170963287354,0.05872819572687149,0.03638189285993576,0.05248812213540077,0.617431640625,42,0.12281671615771227,2.097062147470467
22,1.5889684426630928,0.056434571743011475,0.08141809701919556,0.048961177468299866,0.07063623517751694,0.64208984375,44,0.11671065829607785,2.1480574131309935
23,1.6051313079879355,0.08077281713485718,0.11653086543083191,0.06870568543672562,0.09912162274122238,0.666259765625,46,0.11137448358295252,2.1948570299430803
24,1.5671559545943752,0.0998486876487732,0.14405159652233124,0.08363460004329681,0.12065955251455307,0.694091796875,48,0.10552998076905448,2.248760188531179
25,1.516215116624444,0.12710446119308472,0.18337348103523254,0.10516989231109619,0.15172849595546722,0.72119140625,50,0.09886728295260522,2.3139769044600587
26,1.4895183120899615,0.1496521234512329,0.21590296924114227,0.12330900877714157,0.17789776623249054,0.7392578125,52,0.09481217860123758,2.3558574117144637
27,1.419450635519425,0.18943190574645996,0.27329322695732117,0.15552052855491638,0.22436931729316711,0.77490234375,54,0.08823982364928441,2.427696902573742
28,1.4070486485019087,0.2377181351184845,0.34295570850372314,0.19009040296077728,0.27424323558807373,0.807373046875,56,0.08325471085342763,2.4858505648945983
29,1.493747017459715,0.28366371989250183,0.40924137830734253,0.22473102807998657,0.3242192268371582,0.840576171875,58,0.07779214199458334,2.5537148555392184
30,1.526930562218399,0.30575835704803467,0.4411172866821289,0.2429293394088745,0.35047391057014465,0.8525390625,60,0.07451083639166009,2.5968107092525528
31,1.565537834560756,0.392448753118515,0.5661854147911072,0.2947445809841156,0.42522770166397095,0.897216796875,62,0.06901988396310554,2.673360642520509
32,1.4970987932278028,0.4520905315876007,0.6522305607795715,0.3364120125770569,0.48534128069877625,0.9267578125,64,0.06389140414122964,2.7505704471288785
33,1.3931509614605595,0.5005202889442444,0.7221001386642456,0.3599529266357422,0.5193036794662476,0.9453125,66,0.06100368928216613,2.7968209366021592
34,1.420297699640858,0.48845720291137695,0.7046967148780823,0.3548804521560669,0.5119856595993042,0.935791015625,68,0.06045910016434155,2.8057881728983527
35,1.3805216387841615,0.4819023013114929,0.6952399611473083,0.3518313765525818,0.5075867772102356,0.930908203125,70,0.059984440925818436,2.8136700682917635
36,1.4159816985331868,0.4737241268157959,0.6834413409233093,0.3469964265823364,0.500611424446106,0.92431640625,72,0.05942767174716922,2.8229953067605296
37,1.4191029655964233,0.4594303071498871,0.6628196239471436,0.3419843912124634,0.4933805465698242,0.917724609375,74,0.05876157671938151,2.834267094827113
38,1.4827875840324847,0.45055878162384033,0.6500207185745239,0.33594846725463867,0.48467251658439636,0.91552734375,76,0.05808032560483585,2.845928302337443
39,1.5740197605261255,0.450875848531723,0.6504781246185303,0.33430391550064087,0.48229992389678955,0.910400390625,78,0.05743769246500937,2.857054528012052
40,1.620911480442138,0.44239479303359985,0.6382425427436829,0.3303471803665161,0.476591557264328,0.905517578125,80,0.05674123822781916,2.869254027001704
41,1.6023357853465563,0.43909910321235657,0.6334878206253052,0.32604265213012695,0.47038140892982483,0.90283203125,82,0.05619410122088875,2.8789434880736353
42,1.553484987831356,0.4288526177406311,0.6187052726745605,0.320594847202301,0.46252188086509705,0.8984375,84,0.055710363947279386,2.8875890820811563
43,1.519622106839877,0.4269857406616211,0.616011917591095,0.31685900688171387,0.45713216066360474,0.896240234375,86,0.05510235105770364,2.8985628948097197
44,1.561284612985745,0.4055071473121643,0.5850247740745544,0.31183886528015137,0.4498896300792694,0.888427734375,88,0.05449319923068752,2.9096793698572316
45,1.596663386427921,0.4004240334033966,0.577691376209259,0.3093893527984619,0.4463557004928589,0.8828125,90,0.053831398071918356,2.9218983747621725
46,1.5710451360537014,0.3887295126914978,0.560819685459137,0.30506712198257446,0.44012004137039185,0.875244140625,92,0.05349486420231411,2.928169625906536
47,1.667808719086775,0.38115161657333374,0.5498870611190796,0.30073606967926025,0.43387162685394287,0.86962890625,94,0.05298176678168687,2.937807447606539
48,1.6501501509247452,0.37810689210891724,0.5454944372177124,0.2968895435333252,0.4283222556114197,0.870361328125,96,0.052447836750654175,2.9479361890198614
49,1.6899405468530255,0.38039442896842957,0.548794686794281,0.295640230178833,0.42651987075805664,0.8671875,98,0.051941187431405016,2.9576432114107627
50,1.714759997735299,0.3708706796169281,0.5350547432899475,0.29268521070480347,0.4222566485404968,0.86376953125,100,0.05138997567517129,2.9683121513158945
51,1.6453041424617423,0.3700982630252838,0.5339403748512268,0.28964391350746155,0.417868971824646,0.8662109375,102,0.05082283942679565,2.9794094304195946
52,1.6356651545933207,0.36335164308547974,0.5242070555686951,0.28582078218460083,0.41235336661338806,0.86376953125,104,0.050369157497551414,2.9883762456390035
53,1.6164574130271294,0.35901492834091187,0.5179504752159119,0.2834447920322418,0.40892553329467773,0.8583984375,106,0.04986656558879268,2.9984045290746377
54,1.6295337976668223,0.35534200072288513,0.5126515626907349,0.2810949683189392,0.40553542971611023,0.85888671875,108,0.04935640363532253,3.0086877619396892
55,1.7163476438362668,0.3561248779296875,0.5137810111045837,0.2802855372428894,0.4043676555156708,0.86083984375,110,0.04885310310470112,3.0189373793849352
56,1.699431181031016,0.3445183038711548,0.4970362186431885,0.2732708752155304,0.3942476212978363,0.8525390625,112,0.04842709075817211,3.027695895439434
57,1.6854772488846441,0.3436654806137085,0.49580585956573486,0.2721184492111206,0.39258500933647156,0.850341796875,114,0.04798010475246481,3.0369688383202664
58,1.669020573857693,0.34258833527565,0.4942518472671509,0.2694969177246094,0.3888029456138611,0.85009765625,116,0.04756190698030286,3.0457231116576122
59,1.657277561853837,0.34098413586616516,0.4919374883174896,0.26787060499191284,0.3864566683769226,0.848388671875,118,0.0468227798167072,3.061385446261785
60,1.6262024839413465,0.3387777805328369,0.48875436186790466,0.2660166919231415,0.3837820291519165,0.84814453125,120,0.0461781868974529,3.0752477374668037
61,1.601016438395931,0.3344804048538208,0.48255455493927,0.2610400319099426,0.3766021728515625,0.845947265625,122,0.04575125537345201,3.084536047780198
62,1.5879919911124223,0.3333617150783539,0.4809406101703644,0.26085448265075684,0.3763344883918762,0.843505859375,124,0.04557520718310246,3.08839141244634
63,1.5893207752739007,0.3237389624118805,0.46705788373947144,0.25760436058044434,0.3716455101966858,0.838134765625,126,0.045264880513959466,3.09522381175866
64,1.6881578474032413,0.334476113319397,0.4825483560562134,0.2572851777076721,0.3711850643157959,0.843994140625,128,0.044648463554893866,3.1089353831163353
65,1.6090710283736747,0.3298482894897461,0.4758718013763428,0.25595930218696594,0.3692722022533417,0.843994140625,130,0.04415391137815203,3.120073762919665
66,1.6576352645526797,0.32609501481056213,0.47045695781707764,0.25435322523117065,0.36695513129234314,0.843017578125,132,0.0437388628031454,3.1295182630850893
67,1.6599115988325308,0.3251873850822449,0.4691475033760071,0.25312432646751404,0.36518222093582153,0.843017578125,134,0.0430974899907297,3.144290520442288
68,1.6701119390679184,0.3225260376930237,0.46530798077583313,0.2510477304458618,0.3621863126754761,0.841552734375,136,0.042713829806273584,3.1532325281354474
69,1.6622455160083836,0.32241401076316833,0.46514636278152466,0.24897268414497375,0.3591926395893097,0.842529296875,138,0.0422961175279363,3.1630599813518767
70,1.6228301461353547,0.31863367557525635,0.45969247817993164,0.2482186257839203,0.35810476541519165,0.839111328125,140,0.04178545019093574,3.1752070816024345
