status,run_id,dataset,model,mode,seed,layers,fixed_k,selected_k,max_children,extra_dims,input_dim,state_dim,num_classes,epochs,lr,batch_size,init_samples,kmeans_iters,params,best_epoch,best_val_acc,best_val_f1,final_val_acc,final_val_f1,test_acc,test_f1,train_time_sec,selected_children,total_children,train_fisher_before,train_fisher_after,val_fisher_before,val_fisher_after,test_fisher_before,test_fisher_after,diag_sigma_mean,diag_sigma_min,diag_sigma_max,diag_charge_abs_mean,diag_parent_norm,diag_child_offset_norm,diag_anchor_alpha_entropy,diag_anchor_alpha_eff,diag_parent_top_rate,diag_child_top_rate,diag_gate_mean,diag_gate_active,diag_move_norm
ok,checkerboard3d_g4__L1_extra3__autok_max48__seed0,checkerboard3d_g4,AAT-L1-extra3-AutoK-max48,auto,0,1,,5,48,3,3,6,2,300,0.002,256,4096,8,120,68,0.616699,0.61466,0.603516,0.597122,0.616699,0.61557,65.082,"[[5, 5]]",10,0.619791,8.521039,2.350612,6.460718,0.442495,5.534644,0.106792,0.085612,0.137876,0.769741,0.76979,0.663468,0.155269,1.167972,0.539062,0.460938,0.985514,0.219775,0.25633
ok,checkerboard3d_g4__L1_extra3__fixed_k02__seed0,checkerboard3d_g4,AAT-L1-extra3-K2,fixed,0,1,2,2,2,3,3,6,2,300,0.002,256,4096,8,66,283,0.573242,0.568168,0.571289,0.564909,0.563965,0.561116,60.299,"[[2, 2]]",4,0.619791,9.897012,2.350612,4.948846,0.442495,2.912543,0.209445,0.137076,0.29615,1.122681,1.21845,1.094002,0.238785,1.269705,0.573242,0.426758,0.112329,0.085449,0.326764
ok,checkerboard3d_g4__L1_extra3__fixed_k03__seed0,checkerboard3d_g4,AAT-L1-extra3-K3,fixed,0,1,3,3,3,3,3,6,2,300,0.002,256,4096,8,84,55,0.568848,0.546462,0.558105,0.552899,0.547363,0.530959,52.071,"[[3, 3]]",6,0.619791,2.250905,2.350612,2.791779,0.442495,1.034869,0.223107,0.149343,0.279281,0.557787,0.700531,0.87121,0.40427,1.498208,0.129395,0.870605,0.182458,0.165365,0.096745
ok,checkerboard3d_g4__L1_extra3__fixed_k04__seed0,checkerboard3d_g4,AAT-L1-extra3-K4,fixed,0,1,4,4,4,3,3,6,2,300,0.002,256,4096,8,102,283,0.657227,0.656161,0.648438,0.646592,0.644531,0.644091,34.3,"[[4, 4]]",8,0.619791,5.283296,2.350612,4.109708,0.442495,2.374058,0.169552,0.147947,0.20881,1.162137,0.875272,1.0669,0.305733,1.35762,0.018066,0.981934,0.296343,0.188354,0.260625
ok,checkerboard3d_g4__L1_extra3__fixed_k05__seed0,checkerboard3d_g4,AAT-L1-extra3-K5,fixed,0,1,5,5,5,3,3,6,2,300,0.002,256,4096,8,120,269,0.63916,0.639077,0.630859,0.630719,0.618164,0.618003,33.96,"[[5, 5]]",10,0.619791,7.322898,2.350612,5.597505,0.442495,2.548378,0.169385,0.095511,0.242135,1.361021,0.529833,1.009923,0.27014,1.310148,0.178711,0.821289,0.1862,0.108154,0.209374
ok,checkerboard3d_g4__L1_extra3__fixed_k06__seed0,checkerboard3d_g4,AAT-L1-extra3-K6,fixed,0,1,6,6,6,3,3,6,2,300,0.002,256,4096,8,138,293,0.651855,0.64331,0.646973,0.632457,0.645508,0.63997,34.051,"[[6, 6]]",12,0.619791,6.4301,2.350612,3.535661,0.442495,3.947759,0.185901,0.093715,0.253294,1.519192,0.645018,0.961098,0.448198,1.565488,0.23877,0.76123,0.404891,0.204142,0.218063
ok,checkerboard3d_g4__L1_extra3__fixed_k07__seed0,checkerboard3d_g4,AAT-L1-extra3-K7,fixed,0,1,7,7,7,3,3,6,2,300,0.002,256,4096,8,156,225,0.665527,0.655759,0.659668,0.648503,0.664062,0.655656,34.129,"[[7, 7]]",14,0.619791,12.61589,2.350612,6.921807,0.442495,4.965341,0.16936,0.103543,0.235333,1.605168,0.672452,1.073558,0.336602,1.400181,0.178711,0.821289,0.205425,0.114886,0.114142
ok,checkerboard3d_g4__L1_extra3__fixed_k08__seed0,checkerboard3d_g4,AAT-L1-extra3-K8,fixed,0,1,8,8,8,3,3,6,2,300,0.002,256,4096,8,174,109,0.683105,0.679234,0.678711,0.674679,0.679199,0.677103,33.755,"[[8, 8]]",16,0.619791,22.990543,2.350612,8.738335,0.442495,7.589536,0.163264,0.093766,0.249449,1.405995,0.667584,1.0082,0.382425,1.465834,0.083984,0.916016,0.321933,0.145538,0.195035
ok,checkerboard3d_g4__L1_extra3__fixed_k09__seed0,checkerboard3d_g4,AAT-L1-extra3-K9,fixed,0,1,9,9,9,3,3,6,2,300,0.002,256,4096,8,192,291,0.717773,0.716523,0.713379,0.711685,0.717773,0.717443,34.386,"[[9, 9]]",18,0.619791,35.596294,2.350612,16.432983,0.442495,15.769775,0.160343,0.069302,0.264911,1.953793,0.745705,1.145483,0.466296,1.594078,0.111816,0.888184,0.320552,0.132243,0.329946
ok,checkerboard3d_g4__L1_extra3__fixed_k10__seed0,checkerboard3d_g4,AAT-L1-extra3-K10,fixed,0,1,10,10,10,3,3,6,2,300,0.002,256,4096,8,210,281,0.745605,0.745522,0.73877,0.738553,0.744141,0.744132,34.03,"[[10, 10]]",20,0.619791,36.294132,2.350612,17.01387,0.442495,15.589086,0.147288,0.094513,0.262724,1.821773,0.570436,1.007565,0.494213,1.639207,0.222656,0.777344,0.308798,0.143481,0.307156
