rank,run_id,model,mode,fixed_k,selected_k,max_children,params,best_epoch,best_val_acc,best_val_f1,test_acc,test_f1,final_val_acc,train_time_sec,val_fisher_after,diag_gate_active,diag_move_norm
1,checkerboard3d_g4__L1_extra3__fixed_k69__seed0,AAT-L1-extra3-K69,fixed,69,69,69,1272,263,0.963867,0.963853,0.94873,0.94871,0.95459,32.541,800.5849,0.166348,0.620749
2,checkerboard3d_g4__L1_extra3__fixed_k59__seed0,AAT-L1-extra3-K59,fixed,59,59,59,1092,294,0.963379,0.963354,0.95166,0.951653,0.941406,33.251,770.526123,0.185973,0.61929
3,checkerboard3d_g4__L1_extra3__fixed_k80__seed0,AAT-L1-extra3-K80,fixed,80,80,80,1470,293,0.963379,0.963378,0.950195,0.950107,0.953125,32.632,759.949463,0.153214,0.619554
4,checkerboard3d_g4__L1_extra3__fixed_k44__seed0,AAT-L1-extra3-K44,fixed,44,44,44,822,263,0.961914,0.961908,0.946777,0.946713,0.952148,32.74,752.549133,0.236184,0.611796
5,checkerboard3d_g4__L1_extra3__fixed_k66__seed0,AAT-L1-extra3-K66,fixed,66,66,66,1218,270,0.961426,0.96141,0.954102,0.954087,0.949707,32.402,786.225952,0.170447,0.618247
6,checkerboard3d_g4__L1_extra3__fixed_k75__seed0,AAT-L1-extra3-K75,fixed,75,75,75,1380,274,0.961426,0.961404,0.949707,0.949685,0.953125,32.632,798.902405,0.157731,0.623996
7,checkerboard3d_g4__L1_extra3__fixed_k49__seed0,AAT-L1-extra3-K49,fixed,49,49,49,912,297,0.960938,0.960925,0.955566,0.955534,0.952637,34.393,741.100952,0.214211,0.617889
8,checkerboard3d_g4__L1_extra3__fixed_k71__seed0,AAT-L1-extra3-K71,fixed,71,71,71,1308,261,0.960938,0.960933,0.953613,0.953584,0.94873,32.611,797.838074,0.166088,0.622096
9,checkerboard3d_g4__L1_extra3__fixed_k77__seed0,AAT-L1-extra3-K77,fixed,77,77,77,1416,275,0.960938,0.960937,0.950195,0.950137,0.953125,32.628,829.60907,0.157658,0.633383
10,checkerboard3d_g4__L1_extra3__fixed_k42__seed0,AAT-L1-extra3-K42,fixed,42,42,42,786,265,0.960449,0.960442,0.950195,0.950158,0.953125,34.194,737.625488,0.243507,0.607166
11,checkerboard3d_g4__L1_extra3__fixed_k54__seed0,AAT-L1-extra3-K54,fixed,54,54,54,1002,284,0.960449,0.960438,0.953125,0.953092,0.952148,33.384,753.711304,0.193572,0.617783
12,checkerboard3d_g4__L1_extra3__fixed_k41__seed0,AAT-L1-extra3-K41,fixed,41,41,41,768,281,0.959961,0.959953,0.955078,0.955045,0.951172,35.077,742.735535,0.251197,0.614226
13,checkerboard3d_g4__L1_extra3__fixed_k50__seed0,AAT-L1-extra3-K50,fixed,50,50,50,930,287,0.959961,0.959944,0.95166,0.951646,0.947266,33.213,770.9328,0.206904,0.620225
14,checkerboard3d_g4__L1_extra3__fixed_k56__seed0,AAT-L1-extra3-K56,fixed,56,56,56,1038,230,0.959961,0.959919,0.94873,0.948724,0.955566,33.745,819.031799,0.193669,0.623966
15,checkerboard3d_g4__L1_extra3__fixed_k64__seed0,AAT-L1-extra3-K64,fixed,64,64,64,1182,285,0.959961,0.959931,0.947266,0.947261,0.956055,32.985,780.634338,0.172646,0.62067
16,checkerboard3d_g4__L1_extra3__fixed_k70__seed0,AAT-L1-extra3-K70,fixed,70,70,70,1290,276,0.959961,0.959946,0.944824,0.944778,0.95166,32.661,765.826721,0.163979,0.615427
17,checkerboard3d_g4__L1_extra3__fixed_k76__seed0,AAT-L1-extra3-K76,fixed,76,76,76,1398,276,0.959961,0.959954,0.950195,0.95014,0.952148,32.547,779.484314,0.156719,0.62064
18,checkerboard3d_g4__L1_extra3__fixed_k78__seed0,AAT-L1-extra3-K78,fixed,78,78,78,1434,274,0.959961,0.959929,0.944824,0.9448,0.956055,32.619,762.800476,0.153768,0.616788
19,checkerboard3d_g4__L1_extra3__fixed_k35__seed0,AAT-L1-extra3-K35,fixed,35,35,35,660,283,0.959473,0.959449,0.945801,0.94579,0.95459,33.025,738.328003,0.271226,0.615651
20,checkerboard3d_g4__L1_extra3__fixed_k38__seed0,AAT-L1-extra3-K38,fixed,38,38,38,714,292,0.959473,0.95947,0.949219,0.949133,0.955566,34.164,710.235107,0.25647,0.605208
21,checkerboard3d_g4__L1_extra3__fixed_k40__seed0,AAT-L1-extra3-K40,fixed,40,40,40,750,245,0.959473,0.959471,0.952148,0.952056,0.947266,35.123,794.767456,0.259827,0.62146
