k,hard_nmi,purity,cond_entropy_norm,anchor_acc,anchor_f1,boundary_anchor_acc,boundary_score
2.0,0.26729503,0.80664062,0.70039143,0.80664062,0.80517718,0.66219103,0.73368411
3.0,0.25750306,0.8104248,0.69624174,0.80993652,0.80836006,0.66493744,0.73664875
4.0,0.22489658,0.79296875,0.69344652,0.79296875,0.79289931,0.68690878,0.73990405
5.0,0.24488634,0.82226562,0.65759428,0.82226562,0.82177457,0.69972533,0.76074995
6.0,0.22344713,0.81689453,0.65958419,0.75341797,0.75303164,0.68599331,0.71951248
7.0,0.20534487,0.80541992,0.66368644,0.70935059,0.70593405,0.64418674,0.67506039
8.0,0.2162784,0.81811523,0.62973164,0.75671387,0.75623523,0.69667381,0.72645452
9.0,0.23105615,0.81616211,0.59436618,0.76452637,0.76390874,0.69667381,0.73029127
10.0,0.22778621,0.80908203,0.59068679,0.76208496,0.76130259,0.69087577,0.72608918
11.0,0.22440596,0.81567383,0.58062201,0.77490234,0.77461599,0.72200185,0.74830892
12.0,0.22723275,0.83337402,0.5618814,0.80041504,0.80041373,0.71772963,0.75907168
13.0,0.22742566,0.83154297,0.5565756,0.79663086,0.79663075,0.72169667,0.75916371
14.0,0.22727615,0.8347168,0.55183266,0.79504395,0.79503023,0.72322243,0.75912633
15.0,0.22802567,0.83728027,0.54811573,0.79162598,0.79159174,0.72352761,0.75755967
16.0,0.2343128,0.84765625,0.5244558,0.80529785,0.80529574,0.73634422,0.77081998
17.0,0.2312412,0.84985352,0.52025174,0.81738281,0.81738242,0.74946594,0.78342418
18.0,0.23100112,0.85021973,0.51517873,0.82092285,0.82090357,0.74763501,0.78426929
19.0,0.22900388,0.8515625,0.51590194,0.82788086,0.82775888,0.7528227,0.79029079
20.0,0.22958511,0.85668945,0.50980761,0.83068848,0.8304775,0.75770521,0.79409135
21.0,0.23052327,0.85705566,0.50660092,0.82336426,0.82316498,0.74855047,0.78585773
22.0,0.22947083,0.8572998,0.50597361,0.81433105,0.81426961,0.74671954,0.78049458
23.0,0.23207529,0.86157227,0.49425878,0.82043457,0.82034687,0.75953615,0.78994151
24.0,0.23411667,0.86584473,0.48793797,0.83251953,0.83232083,0.76838571,0.80035327
25.0,0.2373129,0.86914062,0.47756249,0.83557129,0.83546623,0.77326822,0.80436723
26.0,0.23172197,0.86206055,0.4853625,0.83728027,0.83696014,0.77815074,0.80755544
27.0,0.23092753,0.86279297,0.48404322,0.84130859,0.84096278,0.78181261,0.81138769
28.0,0.23371921,0.86572266,0.47291441,0.84594727,0.84560091,0.79523957,0.82042024
29.0,0.23558903,0.86755371,0.46791644,0.84680176,0.84640377,0.79401892,0.82021135
30.0,0.24126847,0.87011719,0.4495588,0.85449219,0.85408264,0.80592006,0.83000135
31.0,0.23779897,0.86877441,0.45487929,0.85388184,0.85332,0.80530971,0.82931486
32.0,0.23734818,0.87036133,0.45291892,0.85437012,0.85385787,0.80317366,0.82851577
33.0,0.23698424,0.86584473,0.45321072,0.85058594,0.8499579,0.80347878,0.82671834
34.0,0.24074115,0.87268066,0.4404482,0.85803223,0.85732441,0.81324381,0.83528411
35.0,0.23969431,0.87341309,0.43914917,0.8581543,0.857549,0.81171805,0.83463352
36.0,0.23822781,0.86987305,0.44078089,0.85693359,0.85602718,0.81690568,0.83646643
37.0,0.23897626,0.87023926,0.43778608,0.86083984,0.85982217,0.8184315,0.83912683
38.0,0.24100287,0.87426758,0.43006347,0.86425781,0.86327085,0.81934696,0.84130891
39.0,0.24327242,0.87573242,0.4234731,0.86694336,0.86593059,0.8239243,0.84492745
40.0,0.24146339,0.87963867,0.42487534,0.8692627,0.86847741,0.82667071,0.84757406
41.0,0.24097839,0.87963867,0.42389852,0.86474609,0.8640552,0.82636559,0.8452104
42.0,0.23683968,0.87731934,0.432595,0.86462402,0.86379006,0.82728106,0.84553556
43.0,0.23762475,0.87866211,0.42894468,0.86706543,0.86617828,0.82728106,0.84672967
44.0,0.2373717,0.87768555,0.42797639,0.86401367,0.86305897,0.82545012,0.84425455
45.0,0.23726133,0.87890625,0.42561876,0.86633301,0.86535268,0.8312481,0.84830039
46.0,0.23877613,0.88012695,0.42041633,0.86694336,0.86589589,0.83368933,0.84979261
47.0,0.23628266,0.87927246,0.42550495,0.86779785,0.86673087,0.82789135,0.84731111
48.0,0.23809585,0.88269043,0.41999365,0.87109375,0.87009023,0.83155322,0.85082172
49.0,0.23848659,0.88415527,0.41626242,0.86865234,0.86769734,0.82880682,0.84825208
50.0,0.23721027,0.88122559,0.41805571,0.87011719,0.86918916,0.83094293,0.85006604
51.0,0.23619711,0.88183594,0.41772632,0.8737793,0.87288269,0.83704609,0.85496439
52.0,0.23557889,0.88049316,0.41936217,0.87158203,0.87072761,0.83490998,0.85281879
53.0,0.23632237,0.88208008,0.41689921,0.87133789,0.87046101,0.83094293,0.85070197
54.0,0.23669675,0.88415527,0.41416283,0.86816406,0.86710296,0.83826673,0.85268484
55.0,0.23866828,0.88781738,0.40787187,0.8717041,0.87069693,0.84162343,0.85616018
56.0,0.24017847,0.89038086,0.4021539,0.87365723,0.87268738,0.83979249,0.85623993
57.0,0.23966628,0.89050293,0.40273441,0.87475586,0.87375889,0.83887702,0.85631795
58.0,0.23656549,0.88916016,0.41005885,0.87634277,0.87534475,0.83704609,0.85619542
59.0,0.24215905,0.89038086,0.39697902,0.87695312,0.87608417,0.83643574,0.85625995
60.0,0.24011099,0.8894043,0.40151585,0.87585449,0.87498549,0.8346048,0.85479514
61.0,0.23861976,0.8873291,0.40507478,0.87695312,0.87602712,0.83429968,0.8551634
62.0,0.24181467,0.890625,0.39523258,0.88134766,0.8803339,0.84131825,0.86082607
63.0,0.24109632,0.89001465,0.39579002,0.87988281,0.87892135,0.83796155,0.85844145
64.0,0.24260379,0.89233398,0.39092615,0.88305664,0.8820893,0.84253889,0.86231409
65.0,0.24520934,0.89367676,0.38408657,0.88671875,0.8857037,0.84772658,0.86671514
66.0,0.2433982,0.8927002,0.38668463,0.88476562,0.88378633,0.84589565,0.86484099
67.0,0.24547879,0.89624023,0.37960501,0.88781738,0.88680955,0.85047299,0.86864127
68.0,0.2460141,0.89672852,0.37726377,0.88684082,0.88590223,0.85016781,0.86803502
69.0,0.24426295,0.89599609,0.38053859,0.8861084,0.88513792,0.84955752,0.86734772
70.0,0.24499172,0.89526367,0.37802066,0.88623047,0.88525322,0.85230392,0.86877857
71.0,0.24288547,0.89538574,0.38266356,0.88378906,0.88285886,0.85413486,0.86849686
72.0,0.24597631,0.89733887,0.3731584,0.88525391,0.88428399,0.85505033,0.86966716
73.0,0.24508265,0.89770508,0.37462112,0.88525391,0.88436062,0.85505033,0.86970547
74.0,0.24701676,0.89916992,0.36881428,0.88635254,0.88547522,0.85718644,0.87133083
75.0,0.24620883,0.89807129,0.36955975,0.88500977,0.88411458,0.85596579,0.87004019
76.0,0.24824794,0.9005127,0.36357905,0.88891602,0.88804153,0.85657614,0.87230884
77.0,0.25013697,0.90002441,0.35789893,0.88757324,0.88676289,0.85627097,0.87151693
78.0,0.25015995,0.90197754,0.35645172,0.88989258,0.88905923,0.86206895,0.87556409
79.0,0.24933633,0.90112305,0.35783244,0.88977051,0.88891957,0.85840708,0.87366333
80.0,0.24847063,0.9005127,0.35934549,0.8885498,0.88772296,0.8581019,0.87291243
81.0,0.24884848,0.90014648,0.35680692,0.89099121,0.89015442,0.86023802,0.87519622
82.0,0.24881344,0.90258789,0.3563881,0.89172363,0.89081577,0.85901737,0.87491657
83.0,0.24901083,0.9041748,0.35474335,0.89306641,0.89217222,0.86084831,0.87651026
84.0,0.24656205,0.90258789,0.36082351,0.89221191,0.89128851,0.85901737,0.87515294
85.0,0.24736594,0.90209961,0.357208,0.89196777,0.89111494,0.85566068,0.87338781
86.0,0.25045145,0.90466309,0.34832728,0.89233398,0.8914864,0.86023802,0.87586221
87.0,0.25007436,0.90405273,0.34853981,0.89208984,0.89117279,0.85901737,0.87509508
88.0,0.24916826,0.90368652,0.35004178,0.89331055,0.89238431,0.85566068,0.87402249
89.0,0.25066274,0.90539551,0.34507166,0.89624023,0.89533464,0.86389989,0.87961726
90.0,0.25163653,0.90576172,0.34167916,0.8972168,0.8963758,0.86573082,0.88105331
91.0,0.25344464,0.90722656,0.33698016,0.89892578,0.89806221,0.86756182,0.88281201
92.0,0.25282118,0.90637207,0.33718335,0.89550781,0.89462931,0.86084831,0.87773881
93.0,0.25207376,0.90454102,0.33937581,0.89672852,0.89581281,0.86237413,0.87909347
