k,hard_nmi,purity,cond_entropy_norm,anchor_acc,anchor_f1,boundary_anchor_acc,boundary_score
2.0,0.00061007,0.51416016,0.99913733,0.51245117,0.51244766,0.52532029,0.51888397
3.0,0.00154202,0.52612305,0.99752447,0.49829102,0.49826586,0.50579619,0.50203103
4.0,0.000425,0.51367188,0.999264,0.50878906,0.50878719,0.50335568,0.50607144
5.0,0.00159016,0.52661133,0.99711842,0.51757812,0.51691286,0.50823671,0.51257478
6.0,0.00105753,0.5222168,0.99801067,0.49438477,0.49389822,0.50274557,0.49832189
7.0,0.00493949,0.54833984,0.99037961,0.54223633,0.54186252,0.56314826,0.55250539
8.0,0.01122312,0.5690918,0.9776299,0.55981445,0.55977034,0.54850519,0.55413777
9.0,0.00952551,0.56176758,0.98056943,0.55493164,0.55492843,0.54850519,0.55171681
10.0,0.00910941,0.56811523,0.98108917,0.55224609,0.55224342,0.55765706,0.55495024
11.0,0.00832098,0.56811523,0.98246228,0.55249023,0.5524646,0.58694321,0.5697039
12.0,0.00815924,0.56542969,0.9825622,0.54882812,0.54881263,0.60280657,0.5758096
13.0,0.00870261,0.55932617,0.98117309,0.54858398,0.54851399,0.55948746,0.55400073
14.0,0.00657156,0.56201172,0.98561886,0.54418945,0.54400221,0.57596093,0.55998157
15.0,0.00971128,0.57250977,0.97852146,0.55371094,0.55370572,0.57718116,0.56544344
16.0,0.01207243,0.57861328,0.9730714,0.5690918,0.56908746,0.60951799,0.58930272
17.0,0.01097769,0.57739258,0.97527519,0.56176758,0.56176734,0.61378884,0.58777809
18.0,0.01385021,0.58618164,0.96854222,0.5793457,0.57924617,0.64246488,0.61085552
19.0,0.01536239,0.59423828,0.96485542,0.59277344,0.59264048,0.6723612,0.63250084
20.0,0.02071682,0.60473633,0.952274,0.59863281,0.59848721,0.66809028,0.63328875
21.0,0.02531679,0.61743164,0.9412718,0.61547852,0.61538166,0.66625988,0.64082077
22.0,0.03489944,0.64208984,0.9185819,0.63696289,0.63691508,0.67968273,0.65829891
23.0,0.04966738,0.66625977,0.88346905,0.66210938,0.66207384,0.68700427,0.67453906
24.0,0.06104681,0.6940918,0.8559484,0.68310547,0.68310177,0.72483218,0.70396697
25.0,0.07728319,0.72119141,0.81662652,0.7199707,0.71996468,0.733374,0.72666934
26.0,0.0905496,0.73925781,0.78409712,0.73925781,0.73925626,0.74801707,0.74363667
27.0,0.114077,0.77490234,0.72670678,0.77490234,0.77490149,0.75777912,0.7663403
28.0,0.14250286,0.80737305,0.65704441,0.80737305,0.80737276,0.8157413,0.81155703
29.0,0.16927077,0.84057617,0.59075859,0.84057617,0.84057616,0.84075654,0.84066635
30.0,0.18171532,0.85253906,0.55888272,0.85253906,0.85253115,0.83770591,0.84511853
31.0,0.23228484,0.8972168,0.43381457,0.8972168,0.89721503,0.85906035,0.87813769
32.0,0.26657376,0.92675781,0.34776948,0.92675781,0.92675607,0.92312384,0.92493995
33.0,0.29409391,0.9453125,0.27789988,0.9453125,0.9453103,0.94569856,0.94550443
34.0,0.28602681,0.93579102,0.29530319,0.93579102,0.93578633,0.93776691,0.93677662
35.0,0.28136981,0.9309082,0.30475994,0.9309082,0.93090425,0.93654662,0.93372543
36.0,0.27571321,0.92431641,0.31655863,0.92431641,0.92431179,0.92373395,0.92402287
37.0,0.26661474,0.91772461,0.33718031,0.91772461,0.91772103,0.9121415,0.91493127
38.0,0.26078111,0.91552734,0.34997929,0.91552734,0.91552533,0.91458201,0.91505367
39.0,0.26018509,0.91040039,0.34952182,0.91040039,0.91039846,0.90848076,0.90943961
40.0,0.25454181,0.90551758,0.36175747,0.90551758,0.90550716,0.9121415,0.90882433
41.0,0.25194001,0.90283203,0.36651212,0.90283203,0.90282276,0.91458201,0.90870239
42.0,0.24543895,0.8984375,0.38129475,0.8984375,0.89842682,0.91458201,0.90650442
43.0,0.24368466,0.89624023,0.38398801,0.89624023,0.89623266,0.91641241,0.90632254
44.0,0.23084381,0.88842773,0.41497524,0.88696289,0.88695992,0.90543008,0.896195
45.0,0.22736987,0.8828125,0.4223086,0.88183594,0.88183591,0.89749843,0.88966717
46.0,0.22018862,0.87524414,0.43918032,0.87524414,0.87523164,0.89810854,0.88667009
47.0,0.21540911,0.86962891,0.45011294,0.86938477,0.86938065,0.89749843,0.88343954
48.0,0.21322019,0.87036133,0.45450548,0.87036133,0.87035291,0.89932883,0.88484087
49.0,0.21398713,0.8671875,0.45120534,0.8671875,0.86718595,0.89688832,0.88203713
50.0,0.20815255,0.86376953,0.46494528,0.86376953,0.8637656,0.89017689,0.87697125
51.0,0.20725821,0.86621094,0.46605952,0.86621094,0.86620172,0.88712627,0.87666399
52.0,0.2030344,0.86376953,0.47579299,0.86376953,0.8637656,0.88102496,0.87239528
53.0,0.20017885,0.85839844,0.48204948,0.85839844,0.85839628,0.87736422,0.86788025
54.0,0.19778335,0.85888672,0.48734841,0.85888672,0.85888669,0.87858444,0.86873556
55.0,0.19788657,0.86083984,0.48621891,0.86083984,0.86083865,0.87736422,0.86910143
56.0,0.19104718,0.85253906,0.50296391,0.85253906,0.85252356,0.87919462,0.86585909
57.0,0.19025908,0.8503418,0.50419411,0.8503418,0.85033529,0.87797433,0.86415481
58.0,0.18937664,0.85009766,0.50574823,0.85009766,0.85009251,0.87370342,0.86189796
59.0,0.18813987,0.84838867,0.50806244,0.84838867,0.84837037,0.86760217,0.85798627
60.0,0.18656224,0.84814453,0.51124576,0.84814453,0.84813146,0.87004268,0.85908707
61.0,0.18389452,0.84594727,0.51744545,0.84594727,0.84593954,0.86577177,0.85585566
62.0,0.18300739,0.84350586,0.51905943,0.84301758,0.84300335,0.86150086,0.8522521
63.0,0.1774525,0.83813477,0.53294216,0.83764648,0.83763324,0.85723001,0.84743162
64.0,0.18303475,0.84399414,0.51745164,0.84399414,0.84398833,0.86150086,0.85274459
65.0,0.18024121,0.84399414,0.52412824,0.84399414,0.84399004,0.86028063,0.85213534
66.0,0.17790587,0.84301758,0.52954296,0.84301758,0.84300971,0.85906035,0.85103503
67.0,0.17713018,0.84301758,0.53085248,0.84301758,0.84301263,0.85845023,0.85073143
68.0,0.17541078,0.84155273,0.53469205,0.84057617,0.84057023,0.85417932,0.84737478
69.0,0.17505054,0.8425293,0.53485367,0.84204102,0.84202519,0.85051858,0.84627189
70.0,0.17269149,0.83911133,0.54030756,0.83862305,0.83861257,0.84868819,0.84365038
71.0,0.16977841,0.8371582,0.54741833,0.83691406,0.83690146,0.8492983,0.84309988
72.0,0.17502359,0.84106445,0.53263681,0.84082031,0.84080194,0.85417932,0.84749063
73.0,0.17137125,0.83959961,0.54174684,0.83886719,0.83884121,0.8547895,0.84681535
74.0,0.16776218,0.8371582,0.55104111,0.83666992,0.83665021,0.86028063,0.84846542
75.0,0.17147155,0.83984375,0.5404715,0.83935547,0.83932099,0.86028063,0.84980081
76.0,0.17093593,0.83837891,0.54128291,0.83813477,0.83810558,0.85906035,0.84858296
77.0,0.17359249,0.84008789,0.5335785,0.83959961,0.83957068,0.86089075,0.85023071
78.0,0.17026828,0.83422852,0.54194294,0.83349609,0.83348323,0.8547895,0.84413636
79.0,0.17268696,0.83813477,0.53487104,0.83764648,0.83762859,0.85845023,0.84803941
80.0,0.16928759,0.83496094,0.54347634,0.83398438,0.83396692,0.85784012,0.84590352
81.0,0.17091627,0.83544922,0.53852504,0.83544922,0.8354247,0.85539961,0.84541215
82.0,0.17143452,0.83544922,0.53662905,0.83520508,0.83517953,0.85600972,0.84559462
83.0,0.17142661,0.83666992,0.53605635,0.83618164,0.8361521,0.8529591,0.8445556
84.0,0.16944498,0.83618164,0.54081675,0.83569336,0.83566788,0.85539961,0.84553375
85.0,0.1725813,0.84057617,0.53180415,0.84008789,0.84007187,0.85723001,0.84865094
86.0,0.17072633,0.83935547,0.53634373,0.83886719,0.83885735,0.85356921,0.84621328
87.0,0.16946381,0.83544922,0.53927506,0.83496094,0.83495086,0.85417932,0.84456509
88.0,0.16844606,0.83178711,0.54153315,0.83105469,0.83105066,0.84624767,0.83864917
89.0,0.17222993,0.83691406,0.5307167,0.83569336,0.83568904,0.85051858,0.84310381
90.0,0.16918345,0.83544922,0.53850926,0.83520508,0.83520153,0.85051858,0.84286006
91.0,0.16577949,0.83325195,0.54725787,0.83325195,0.8332424,0.85417932,0.84371086
92.0,0.16881256,0.8359375,0.53850969,0.83520508,0.83518691,0.85234898,0.84376795
93.0,0.17019168,0.83618164,0.53429528,0.83544922,0.83544259,0.84807807,0.84176033
94.0,0.16604505,0.83154297,0.54519957,0.83081055,0.83079521,0.84441727,0.83760624
95.0,0.16772233,0.83300781,0.54015006,0.83276367,0.83275744,0.84807807,0.84041776
96.0,0.16811633,0.8347168,0.53862732,0.83422852,0.83421349,0.84563756,0.83992552
97.0,0.1720666,0.83984375,0.52738909,0.83935547,0.83934015,0.84746796,0.84340405
98.0,0.1714284,0.84106445,0.52865454,0.84057617,0.84056924,0.84746796,0.8440186
99.0,0.17192005,0.84082031,0.52682412,0.83911133,0.83910211,0.84624767,0.84267489
100.0,0.17123817,0.84082031,0.52827536,0.84033203,0.84032229,0.8492983,0.84481029
