rank,run_id,model,mode,fixed_k,selected_k,selected_children,total_children,params,best_epoch,best_val_acc,best_val_f1,test_acc,test_f1,final_val_acc,train_time_sec,layer1_children,layer1_sigma_mean,layer1_gate_active,layer1_move_norm,layer1_alpha_eff
1,mnist__L1_x1p5__fixed_k35__seed0,AAT-L1-x1p5-K35,fixed,35,35,"[[35, 35, 35, 35, 35, 35, 35, 35, 35, 35]]",350,436200,65,0.9747,0.974427,0.97,0.969688,0.9734,189.153,35.0,2.841263,0.148521,0.918521,4.959964
2,mnist__L1_x1p5__fixed_k24__seed0,AAT-L1-x1p5-K24,fixed,24,24,"[[24, 24, 24, 24, 24, 24, 24, 24, 24, 24]]",240,306510,60,0.9743,0.97396,0.9696,0.969323,0.9698,189.8,24.0,2.845891,0.200781,0.921491,4.796032
3,mnist__L1_x1p5__autok_max100__seed0,AAT-L1-x1p5-AutoK-max100,auto,,41,"[[41, 41, 41, 41, 41, 41, 41, 41, 41, 41]]",410,506940,70,0.9741,0.973741,0.9719,0.971588,0.9731,195.208,41.0,2.835707,0.128363,0.918481,5.114338
4,mnist__L1_x1p5__fixed_k38__seed0,AAT-L1-x1p5-K38,fixed,38,38,"[[38, 38, 38, 38, 38, 38, 38, 38, 38, 38]]",380,471570,26,0.9738,0.973494,0.9674,0.967044,0.9729,190.613,38.0,2.868963,0.142036,0.888027,5.282523
5,mnist__L1_x1p5__fixed_k32__seed0,AAT-L1-x1p5-K32,fixed,32,32,"[[32, 32, 32, 32, 32, 32, 32, 32, 32, 32]]",320,400830,68,0.9737,0.97338,0.9702,0.969912,0.973,186.349,32.0,2.840202,0.158243,0.922329,4.966938
6,mnist__L1_x1p5__fixed_k33__seed0,AAT-L1-x1p5-K33,fixed,33,33,"[[33, 33, 33, 33, 33, 33, 33, 33, 33, 33]]",330,412620,75,0.9737,0.973395,0.9694,0.969054,0.9736,188.76,33.0,2.839113,0.152678,0.920053,4.905988
7,mnist__L1_x1p5__fixed_k31__seed0,AAT-L1-x1p5-K31,fixed,31,31,"[[31, 31, 31, 31, 31, 31, 31, 31, 31, 31]]",310,389040,37,0.9735,0.973191,0.9699,0.969668,0.9726,192.714,31.0,2.862118,0.166611,0.907874,5.197643
8,mnist__L1_x1p5__fixed_k39__seed0,AAT-L1-x1p5-K39,fixed,39,39,"[[39, 39, 39, 39, 39, 39, 39, 39, 39, 39]]",390,483360,63,0.9735,0.973186,0.9715,0.971223,0.9734,189.135,39.0,2.836728,0.136982,0.916613,5.038603
9,mnist__L1_x1p5__fixed_k34__seed0,AAT-L1-x1p5-K34,fixed,34,34,"[[34, 34, 34, 34, 34, 34, 34, 34, 34, 34]]",340,424410,29,0.9734,0.973077,0.9709,0.970598,0.9717,190.506,34.0,2.866545,0.157884,0.90371,5.125799
10,mnist__L1_x1p5__fixed_k36__seed0,AAT-L1-x1p5-K36,fixed,36,36,"[[36, 36, 36, 36, 36, 36, 36, 36, 36, 36]]",360,447990,22,0.9734,0.973055,0.9702,0.969972,0.9728,188.532,36.0,2.872373,0.146644,0.88151,5.256089
