status,run_id,dataset,model,mode,seed,layers,k1,k2,selected_k1,selected_k2,max_children,state_mode,extra_dims,input_dim,state_dim,num_classes,epochs,lr,batch_size,init_samples,kmeans_iters,params,best_epoch,best_val_acc,best_val_f1,final_val_acc,final_val_f1,test_acc,test_f1,train_time_sec,selected_children,total_children,layer1_children,layer1_sigma_mean,layer1_gate_active,layer1_move_norm,layer1_alpha_eff,layer2_children,layer2_sigma_mean,layer2_gate_active,layer2_move_norm,layer2_alpha_eff
ok,mnist__L2_x1p5__autok_max100__seed0,mnist,AAT-L2-x1p5-AutoK-max100,auto,0,2,,,41,89,100,x1p5,392,784,1176,10,80,0.001,256,8192,6,1568030,76,0.9753,0.975011,0.9752,0.97492,0.9758,0.975568,313.405,"[[41, 41, 41, 41, 41, 41, 41, 41, 41, 41], [89, 89, 89, 89, 89, 89, 89, 89, 89, 89]]",1300,41.0,2.857066,0.084663,0.79288,5.117136,89.0,2.841567,0.051154,0.81045,5.021691
ok,mnist__L2_x1p5__fixed_k32_32__seed0,mnist,AAT-L2-x1p5-K32-32,fixed_pair,0,2,32,32,32,32,32,x1p5,392,784,1176,10,80,0.001,256,8192,6,789890,73,0.9748,0.974499,0.9746,0.97431,0.9711,0.970814,314.09,"[[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [32, 32, 32, 32, 32, 32, 32, 32, 32, 32]]",640,32.0,2.860929,0.108914,0.803808,4.834484,32.0,2.864341,0.139749,0.843823,4.563011
ok,mnist__L2_x1p5__fixed_k32_34__seed0,mnist,AAT-L2-x1p5-K32-34,fixed_pair,0,2,32,34,32,34,34,x1p5,392,784,1176,10,80,0.001,256,8192,6,813470,47,0.975,0.974734,0.9739,0.9736,0.9706,0.970319,306.72,"[[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [34, 34, 34, 34, 34, 34, 34, 34, 34, 34]]",660,32.0,2.87057,0.115573,0.805087,4.998847,34.0,2.867474,0.12504,0.853126,4.51388
ok,mnist__L2_x1p5__fixed_k32_36__seed0,mnist,AAT-L2-x1p5-K32-36,fixed_pair,0,2,32,36,32,36,36,x1p5,392,784,1176,10,80,0.001,256,8192,6,837050,73,0.9748,0.974485,0.9743,0.973974,0.9714,0.971122,314.175,"[[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [36, 36, 36, 36, 36, 36, 36, 36, 36, 36]]",680,32.0,2.855481,0.103931,0.798855,4.961153,36.0,2.858954,0.112242,0.830622,4.64292
ok,mnist__L2_x1p5__fixed_k32_38__seed0,mnist,AAT-L2-x1p5-K32-38,fixed_pair,0,2,32,38,32,38,38,x1p5,392,784,1176,10,80,0.001,256,8192,6,860630,66,0.9747,0.974411,0.9698,0.9693,0.9712,0.970921,318.192,"[[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [38, 38, 38, 38, 38, 38, 38, 38, 38, 38]]",700,32.0,2.862615,0.108823,0.791993,4.927695,38.0,2.861994,0.103014,0.847751,4.530935
ok,mnist__L2_x1p5__fixed_k32_40__seed0,mnist,AAT-L2-x1p5-K32-40,fixed_pair,0,2,32,40,32,40,40,x1p5,392,784,1176,10,80,0.001,256,8192,6,884210,57,0.9741,0.973807,0.9734,0.973089,0.9716,0.971308,315.583,"[[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [40, 40, 40, 40, 40, 40, 40, 40, 40, 40]]",720,32.0,2.865805,0.107617,0.779123,4.924284,40.0,2.854788,0.102666,0.844193,4.577798
ok,mnist__L2_x1p5__fixed_k32_42__seed0,mnist,AAT-L2-x1p5-K32-42,fixed_pair,0,2,32,42,32,42,42,x1p5,392,784,1176,10,80,0.001,256,8192,6,907790,67,0.9744,0.974082,0.9742,0.973869,0.9732,0.973012,320.234,"[[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [42, 42, 42, 42, 42, 42, 42, 42, 42, 42]]",740,32.0,2.860305,0.104489,0.785942,4.714178,42.0,2.854258,0.101337,0.846155,4.636544
ok,mnist__L2_x1p5__fixed_k32_44__seed0,mnist,AAT-L2-x1p5-K32-44,fixed_pair,0,2,32,44,32,44,44,x1p5,392,784,1176,10,80,0.001,256,8192,6,931370,63,0.9753,0.974959,0.975,0.974661,0.9733,0.973048,315.517,"[[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [44, 44, 44, 44, 44, 44, 44, 44, 44, 44]]",760,32.0,2.864059,0.106424,0.780757,4.774916,44.0,2.858222,0.100999,0.841757,4.757036
ok,mnist__L2_x1p5__fixed_k34_32__seed0,mnist,AAT-L2-x1p5-K34-32,fixed_pair,0,2,34,32,34,32,34,x1p5,392,784,1176,10,80,0.001,256,8192,6,813470,77,0.9747,0.974419,0.9743,0.97403,0.9714,0.97115,302.608,"[[34, 34, 34, 34, 34, 34, 34, 34, 34, 34], [32, 32, 32, 32, 32, 32, 32, 32, 32, 32]]",660,34.0,2.859457,0.107123,0.821816,4.933617,32.0,2.861142,0.147458,0.867992,4.443841
ok,mnist__L2_x1p5__fixed_k34_34__seed0,mnist,AAT-L2-x1p5-K34-34,fixed_pair,0,2,34,34,34,34,34,x1p5,392,784,1176,10,80,0.001,256,8192,6,837050,59,0.9759,0.975641,0.9747,0.97441,0.9724,0.972138,314.484,"[[34, 34, 34, 34, 34, 34, 34, 34, 34, 34], [34, 34, 34, 34, 34, 34, 34, 34, 34, 34]]",680,34.0,2.862897,0.110102,0.814357,5.036848,34.0,2.869553,0.137302,0.856943,4.495705
