rank,run_id,model,mode,k1,k2,selected_k1,selected_k2,selected_children,total_children,params,best_epoch,best_val_acc,best_val_f1,test_acc,test_f1,final_val_acc,train_time_sec,layer1_children,layer1_gate_active,layer1_move_norm,layer1_alpha_eff,layer2_children,layer2_gate_active,layer2_move_norm,layer2_alpha_eff
1,mnist__L2_x1p5__fixed_k36_34__seed0,AAT-L2-x1p5-K36-34,fixed_pair,36,34,36,34,"[[36, 36, 36, 36, 36, 36, 36, 36, 36, 36], [34, 34, 34, 34, 34, 34, 34, 34, 34, 34]]",700,860630,80,0.9762,0.975907,0.9724,0.972186,0.9762,316.34,36.0,0.109359,0.839372,4.963744,34.0,0.132758,0.852449,4.528718
2,mnist__L2_x1p5__fixed_k36_38__seed0,AAT-L2-x1p5-K36-38,fixed_pair,36,38,36,38,"[[36, 36, 36, 36, 36, 36, 36, 36, 36, 36], [38, 38, 38, 38, 38, 38, 38, 38, 38, 38]]",740,907790,48,0.976,0.975712,0.9725,0.972243,0.9758,308.858,36.0,0.105523,0.793232,5.069154,38.0,0.113664,0.859323,4.524907
3,mnist__L2_x1p5__fixed_k34_34__seed0,AAT-L2-x1p5-K34-34,fixed_pair,34,34,34,34,"[[34, 34, 34, 34, 34, 34, 34, 34, 34, 34], [34, 34, 34, 34, 34, 34, 34, 34, 34, 34]]",680,837050,59,0.9759,0.975641,0.9724,0.972138,0.9747,314.484,34.0,0.110102,0.814357,5.036848,34.0,0.137302,0.856943,4.495705
4,mnist__L2_x1p5__fixed_k36_36__seed0,AAT-L2-x1p5-K36-36,fixed_pair,36,36,36,36,"[[36, 36, 36, 36, 36, 36, 36, 36, 36, 36], [36, 36, 36, 36, 36, 36, 36, 36, 36, 36]]",720,884210,69,0.9758,0.975546,0.9729,0.97272,0.9757,328.994,36.0,0.100694,0.800699,4.956698,36.0,0.124723,0.857873,4.602447
5,mnist__L2_x1p5__fixed_k36_32__seed0,AAT-L2-x1p5-K36-32,fixed_pair,36,32,36,32,"[[36, 36, 36, 36, 36, 36, 36, 36, 36, 36], [32, 32, 32, 32, 32, 32, 32, 32, 32, 32]]",680,837050,47,0.9757,0.975418,0.9724,0.972147,0.9748,312.005,36.0,0.107088,0.80617,5.031672,32.0,0.1328,0.839737,4.497088
6,mnist__L2_x1p5__autok_max100__seed0,AAT-L2-x1p5-AutoK-max100,auto,,,41,89,"[[41, 41, 41, 41, 41, 41, 41, 41, 41, 41], [89, 89, 89, 89, 89, 89, 89, 89, 89, 89]]",1300,1568030,76,0.9753,0.975011,0.9758,0.975568,0.9752,313.405,41.0,0.084663,0.79288,5.117136,89.0,0.051154,0.81045,5.021691
7,mnist__L2_x1p5__fixed_k32_44__seed0,AAT-L2-x1p5-K32-44,fixed_pair,32,44,32,44,"[[32, 32, 32, 32, 32, 32, 32, 32, 32, 32], [44, 44, 44, 44, 44, 44, 44, 44, 44, 44]]",760,931370,63,0.9753,0.974959,0.9733,0.973048,0.975,315.517,32.0,0.106424,0.780757,4.774916,44.0,0.100999,0.841757,4.757036
8,mnist__L2_x1p5__fixed_k34_38__seed0,AAT-L2-x1p5-K34-38,fixed_pair,34,38,34,38,"[[34, 34, 34, 34, 34, 34, 34, 34, 34, 34], [38, 38, 38, 38, 38, 38, 38, 38, 38, 38]]",720,884210,60,0.9753,0.975008,0.9736,0.973375,0.9737,301.45,34.0,0.102226,0.787289,4.946744,38.0,0.110336,0.853926,4.483638
9,mnist__L2_x1p5__fixed_k34_42__seed0,AAT-L2-x1p5-K34-42,fixed_pair,34,42,34,42,"[[34, 34, 34, 34, 34, 34, 34, 34, 34, 34], [42, 42, 42, 42, 42, 42, 42, 42, 42, 42]]",760,931370,75,0.9753,0.974998,0.9734,0.973166,0.9749,316.518,34.0,0.099684,0.77299,4.77625,42.0,0.10864,0.865864,4.588402
10,mnist__L2_x1p5__fixed_k34_36__seed0,AAT-L2-x1p5-K34-36,fixed_pair,34,36,34,36,"[[34, 34, 34, 34, 34, 34, 34, 34, 34, 34], [36, 36, 36, 36, 36, 36, 36, 36, 36, 36]]",700,860630,63,0.9752,0.974908,0.9721,0.971887,0.9746,308.234,34.0,0.103952,0.801882,5.116766,36.0,0.124067,0.833476,4.587119
