variant,seed,layers,rays,grid_size,params,best_epoch,train_acc,val_acc,curved_ray,rho_move,kappa,ray_dropout,step_scale,lr,weight_decay,seconds
lite,0,4,32,4,780,575,0.7548828125,0.76611328125,0,0,6.0,0.0,1.0,0.002,0.0001,4.78921103477478
lite,1,4,32,4,780,400,0.76806640625,0.75634765625,0,0,6.0,0.0,1.0,0.002,0.0001,4.526284456253052
lite,2,4,32,4,780,425,0.7705078125,0.77734375,0,0,6.0,0.0,1.0,0.002,0.0001,4.425779104232788
rho_move,0,4,32,4,1164,525,0.94677734375,0.94287109375,0,1,6.0,0.0,1.0,0.002,0.0001,5.924135208129883
rho_move,1,4,32,4,1164,600,0.966064453125,0.95703125,0,1,6.0,0.0,1.0,0.002,0.0001,5.725829124450684
rho_move,2,4,32,4,1164,575,0.962646484375,0.953125,0,1,6.0,0.0,1.0,0.002,0.0001,5.7782018184661865
curved_ray,0,4,32,4,1036,575,0.987548828125,0.9814453125,1,0,6.0,0.0,1.0,0.002,0.0001,5.129670143127441
curved_ray,1,4,32,4,1036,575,0.99169921875,0.9794921875,1,0,6.0,0.0,1.0,0.002,0.0001,4.964156150817871
curved_ray,2,4,32,4,1036,575,0.982421875,0.95068359375,1,0,6.0,0.0,1.0,0.002,0.0001,4.885877847671509
full,0,4,32,4,1420,425,0.982421875,0.9755859375,1,1,6.0,0.0,1.0,0.002,0.0001,5.998071193695068
full,1,4,32,4,1420,600,0.983642578125,0.97021484375,1,1,6.0,0.0,1.0,0.002,0.0001,5.975581645965576
full,2,4,32,4,1420,450,0.98779296875,0.97607421875,1,1,6.0,0.0,1.0,0.002,0.0001,5.943747520446777
